"ID","STBIOMSha","logSTBIOMSha","TCUmha","Elev_stddev","Elev_kurtosis","Elev_skewness","Elev_MAD_median","Elev_MAD_mode","Elev_L2","Elev_L3","Elev_L4","Elev_LCV","Elev_Lskewness","Elev_Lkurtosis","Elev_mode","Elev_P01","Elev_P05","Elev_P10","Elev_P30","Elev_P60","Elev_P90","Pct_all_returns_above_ht","all_returns_above_ht_div_Total_first_returns_x_100","pct_all_returns_above_mean","All_returns_above_mode_div_Total_first_returns_x_100","mode_pctAllOver3m","mode_pctAlloverModeDiv1st","P01_pctAllOver3m","P10_pctAllOver3m","P30_pctAllOver3m","P60_pctAllOver3m","P90_pctAllOver3m","logmode","logP01","logP10","logP30","logP60","logP90","log_Pct_all_returns_above_ht","log_pct_all_returns_above_mean","log_all_returns_above_ht_div_Total_first_returns_x_100","logmode_pctAllOver3m","logmode_pctAlloverModeDiv1st","logP01_pctAllOver3m","logP10_pctAllOver3m","logP30_pctAllOver3m","logP60_pctAllOver3m","logP90_pctAllOver3m","elevation","aspect","slope","NDVI_Amp","R3ERUlabel","R3ERUcodeFull","R3ERUlabelName","Site","Forest","PlotSizeAcres","fpc","Stratum","lnBMAEstimates","lnBMAResidual","lnBMASqResidual","BMAEstimates","BMAResidual","BMASqResidual","MPMEstimates","MPMResidual","MPMSqResidual","lnMPMEstimates","lnMPMResidual","lnMPMSqResidual","MPMlnlnEstimates","MPMlnlnResidual","MPMlnlnSqResidual"
2896,34.742963,3.54797704790706,45.7821294768656,2.96,3.75,1.14,1.73,1.86,1.59,0.42,0.17,0.29,0.26,0.1,2.66,2.06,2.22,2.48,3.5,5.35,9.73,19.57,21.01,9.61,23.05,52.0562,61.313,40.3142,48.5336,68.495,104.6995,190.4161,0.978326122793608,0.72270598280149,0.908258560176891,1.25276296849537,1.67709656090792,2.27521389619791,2.97399778140798,2.2628042229822,3.04499851485691,2.90953971868166,3.06966038684106,2.14932598946191,2.70115894291088,3.72571428893531,4.9876814513471,6.76648107952121,2050.9749,227,4,0.040303,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Tonto",0.1,9.091828123,"Ton_174",31.4799003144918,3.26306268550822,10.6475780895561,41.7333871890323,-6.99042418903228,48.8660303426076,40.4165443982938,-5.67358139829376,32.189525883065,31.407382307535,-6.72436737698749,45.2171166206933,30.3774262194031,4.3655367805969,19.0579113827444
2897,65.3098515,4.17914289014074,92.5998479376032,2.96,2.84,0.45,2.01,1.96,1.66,0.11,0.16,0.25,0.06,0.09,7.6,2.1,2.36,2.67,4.6,7.51,10.53,29.3,33.29,18.01,14.43,222.68,109.668,61.53,78.231,134.78,220.043,308.529,2.02814824729229,0.741937344729377,0.982078472412158,1.52605630349505,2.01623546577604,2.35422832614588,3.37758751602302,2.89092715918786,3.50525705158693,6.85024820069839,5.41375512589635,2.50595831322921,3.31705598817426,5.15438871943312,6.81001173856803,7.95161220425811,2051.7673,172,5,0.029649995,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Tonto",0.05,50.70737929,"Ton_175",46.997148381375,18.312703118625,335.355095510898,54.5287306294859,10.7811208705141,116.232567224634,55.2144918620053,10.0953596379947,101.916286220452,46.7910706030326,10.5838971496988,112.018878875402,46.6885534631627,18.6212980368373,346.75274057672
2898,84.460489,4.43628383921198,118.474178644102,5.55,2.57,0.8,3.09,2.98,3.07,0.66,0.23,0.31,0.21,0.07,5.54,2.21,2.91,3.91,5.92,9.68,18.93,41.87,56.05,17.66,44.79,231.9598,248.1366,92.5327,163.7117,247.8704,405.3016,792.5991,1.71199450075919,0.792992515529661,1.36353737399727,1.77833644889591,2.27006190128849,2.94074796522123,3.73456958003105,2.87130219517581,4.02624414951817,6.39356258371573,6.50897724114477,2.96148572568938,5.09222519816564,6.64132120510713,8.47770412133943,10.9824278934534,2044.6461,12,3,0.045099983,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Tonto",0.05,50.70737929,"Ton_175",84.1635841074959,0.296904892504116,0.0881525151928809,96.5749222490247,-12.1144332490247,146.759492945075,94.0921594005612,-9.63167040056121,92.7690747050468,85.8681569021435,-10.8884325505741,118.557963408402,86.3249746865752,-1.86448568657525,3.47630687544398
2899,85.399488,4.44734010546039,130.03568998229,4.72,2.58,0.4,3.03,3.44,2.67,0.22,0.3,0.26,0.08,0.11,11.24,2.3,2.88,3.8,7.41,11.06,17.43,37.75,47.69,19.74,19.23,424.31,216.1452,86.825,143.45,279.7275,417.515,657.9825,2.41947884446554,0.832909122935104,1.33500106673234,2.002830439308,2.40333499609419,2.85819285953193,3.63098547569503,2.98264703400534,3.86472173231013,8.7850925430058,7.15312039271792,3.02428092795125,4.8473694833425,7.27224823540724,8.72647446404758,10.3780567596957,2045.6709,150,2,0.022487978,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Tonto",0.05,50.70737929,"Ton_175",78.5793366380869,6.82015136191306,46.5144645994046,88.0678528186867,-2.66836481868673,7.12017080560504,87.1887399104514,-1.78925191045143,3.20142239905408,79.5569194883988,-2.5776944745147,6.64450880394356,81.2031610988734,4.19632690112658,17.6091594611186
2900,68.299822,4.22390716042401,85.78595231264,3.27,2.53,0.09,2.31,2.32,1.86,-0.000943,0.16,0.21,-0.000506,0.08,9.36,2.3,3.08,3.84,6.68,9.52,12.36,41.08,52.89,22.15,23.74,384.5088,222.2064,94.484,157.7472,274.4144,391.0816,507.7488,2.2364452904895,0.832909122935104,1.34547236659964,1.89911798754855,2.25339484880327,2.51446545202954,3.71552138506036,3.09783749649114,3.96821428507789,8.30956030333126,7.0831831730552,3.09469165807724,4.99913135110871,7.05621349548944,8.37253674971342,9.34255015901123,2061.7725,53,1,0.038182053,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Tonto",0.05,50.70737929,"Ton_175",80.1125482498718,-11.8127262498718,139.54050145441,88.2195229009492,-19.9197009009492,396.794483983277,87.883347649537,-19.583525649537,383.514476866072,80.6530272673607,-20.2908100871436,411.716973992528,81.2076817857611,-12.9078597857611,166.612844248869
2901,64.0743265,4.16004376107511,104.67845404544,4.27,1.88,-0.13,3.42,3.59,2.45,-0.11,0.02,0.24,-0.04,0.009653,13.29,2.28,3.02,3.99,7.38,12.2,15.17,36.71,48.3,19.67,15.01,487.8759,199.4829,83.6988,146.4729,270.9198,447.862,556.8907,2.58701187272515,0.824175442966349,1.38379123090177,1.99877363861238,2.50143595173921,2.71931979336044,3.60304919750874,2.97909463240097,3.87743156065853,9.32113105196796,7.00748212213283,2.96954466838632,4.98586788402027,7.20167975460397,9.01279679853348,9.79784299923698,2073.9714,68,3,0.042674701,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Tonto",0.05,50.70737929,"Ton_175",75.6642992764583,-11.5899727764583,134.327468959045,88.8689594021301,-24.7946329021301,614.773820751391,86.985115927637,-22.910789427637,524.904272197522,75.319664190175,-24.5780880011069,604.082409790155,78.2100386290257,-14.1357121290257,199.818357394684
2903,118.8822155,4.7781332172359,171.970046606242,3.96,2.3,0.11,2.76,2.89,2.26,0.09,0.16,0.2,0.04,0.07,9.1,2.49,4.94,6.49,8.84,12.14,16.95,50.68,71.31,23.82,47.91,461.188,435.981,126.1932,328.9132,448.0112,615.2552,859.026,2.2082744135228,0.912282710476616,1.870262530716,2.17928687664955,2.49650578563135,2.83026783382646,3.92553135545294,3.17052556392715,4.26703657004021,8.66865045172822,8.54452974087479,3.58119438501355,7.34177420725442,8.55485896681492,9.80011174056554,11.1103051260156,2048.4375,254,2,0.036266042,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Tonto",0.05,29.23337147,"Ton_176",123.844638638026,-4.96242313802554,24.6256434008113,132.224759157805,-13.3425436578055,178.023471260445,129.044236784981,-10.1620212849815,103.266676596417,124.973009751897,-12.936085037297,167.342296092182,127.480785729602,-8.59857022960155,73.93540999339
2904,110.3323825,4.70349746884705,202.80470860103,5.94,1.7,-0.1,5.17,7.39,3.42,-0.1,-0.07,0.27,-0.03,-0.02,19.94,2.34,3.01,3.97,8.09,14.95,20.08,51.65,70.86,27.49,8.42,1029.901,167.8948,120.861,205.0505,417.8485,772.1675,1037.132,2.99272776453369,0.85015092936961,1.3787660946991,2.0906287310704,2.7047112998367,2.99972429482353,3.94449019556565,3.31382230217715,4.26070609943733,11.8047853252002,6.37633518840481,3.35341200564945,5.43852934251893,8.24646453227504,10.6687072040415,11.8323830703315,2060.4126,51,2,0.029967263,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Tonto",0.05,29.23337147,"Ton_176",147.392277063713,-37.0598945637133,1373.43578507354,156.44187111629,-46.1094886162896,2126.08494045574,151.904357306748,-41.5719748067481,1728.2290893329,148.792452842418,-46.030011132052,2118.76192481682,146.332753798188,-36.0003712981883,1296.02673360742
2906,32.6919915,3.4871301396514,35.9846180226928,1.55,2.53,0.52,1.14,1.1,0.88,0.1,0.06,0.19,0.11,0.07,4.11,2.05,2.32,2.57,3.43,4.68,6.67,29.93,33.35,16.97,22.51,123.0123,92.5161,61.3565,76.9201,102.6599,140.0724,199.6331,1.41342302850814,0.717839793150317,0.943905898907128,1.23256026117785,1.54329810992956,1.89761985992753,3.39886132186461,2.83144707924613,3.50705777236163,4.80402886302906,4.40134228610728,2.4398379082339,3.20820525127528,4.18930139858473,5.24545625394632,6.44974674550982,2163.9143,244,3,0.038608528,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Tonto",0.1,12.67869511,"Ton_177",43.0862026640338,-10.3942111640338,108.039625722525,54.453175520786,-21.761184020786,473.549129986513,56.0032279972245,-23.3112364972245,543.413747029534,43.2116516057884,-22.189876178393,492.390604812413,39.0833942847859,-6.3914027847859,40.850029557369
2908,19.521295,2.97150592099751,26.4662957607936,3.53,4.16,1.53,1.01,1.3,1.73,0.74,0.3,0.34,0.42,0.17,2.22,2.03,2.18,2.32,2.87,3.96,11.54,20.94,22.02,8.88,31.32,46.4868,69.5304,42.5082,48.5808,60.0978,82.9224,241.6476,0.797507195884188,0.708035793053696,0.841567185678219,1.05431202977153,1.37624402526639,2.44581926107995,3.04166120544239,2.18380155700408,3.09195113129453,2.42574669878208,2.74681963919383,2.15360500379606,2.55976226045077,3.20685999938729,4.18606806087465,7.43935356195067,2142.088,228,11,0.03426994,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Tonto",0.1,12.67869511,"Ton_177",30.8234875233986,-11.3021925233986,127.739555835967,42.0732188744528,-22.5519238744528,508.589270439115,41.7201686259191,-22.1988736259191,492.789990259527,31.0317832053988,-23.132963736386,535.13401122895,29.1721071132536,-9.65081211325358,93.138174445322
