"ID","STBIOMSha","logSTBIOMSha","TCUmha","Elev_stddev","Elev_kurtosis","Elev_MAD_median","Elev_MAD_mode","Elev_L3","Elev_L4","Elev_LCV","Elev_Lskewness","Elev_Lkurtosis","Elev_mode","Elev_P01","Elev_P10","Elev_P30","Elev_P60","Elev_P90","Pct_all_returns_above_ht","all_returns_above_ht_div_Total_first_returns_x_100","pct_all_returns_above_mean","All_returns_above_mode_div_Total_first_returns_x_100","mode_pctAllOver3m","mode_pctAlloverModeDiv1st","P01_pctAllOver3m","P10_pctAllOver3m","P30_pctAllOver3m","P60_pctAllOver3m","P90_pctAllOver3m","logmode","logP01","logP10","logP30","logP60","logP90","log_Pct_all_returns_above_ht","log_pct_all_returns_above_mean","log_all_returns_above_ht_div_Total_first_returns_x_100","logmode_pctAllOver3m","logmode_pctAlloverModeDiv1st","logP01_pctAllOver3m","logP10_pctAllOver3m","logP30_pctAllOver3m","logP60_pctAllOver3m","logP90_pctAllOver3m","elevation","aspect","slope","NDVI_Amp","R3ERUlabel","R3ERUcodeFull","R3ERUlabelName","Site","Forest","PlotSizeAcres","fpc","Stratum"
83,11.1093902312141,2.49398120379637,0,5.233102,1.736983,4.63,7.19,0.156516,-0.0649,0.315475,0.051952,-0.021542,2.01,2.04,2.542,5.532,11.233999,16.886,11.827957,13.388027,6.531262,15.407501,23.77419357,30.96907701,24.12903228,30.066666694,65.432258124,132.875257110043,199.726881902,1.10194007876078,1.11185751541813,1.26469153936064,1.87671317510822,2.50421887908095,2.88401828392399,2.55162692978288,2.01906262405066,2.66639640239542,2.81173997997309,3.08294030239704,2.83704557842239,3.22702098970118,4.78867187708447,6.38983232993367,7.35893871924667,2563.5696,340,14,0.234997662,"F","Mixed conifer with aspen","F. mixed conifer","fourFri, P2","Apache",0.1,54410,"ASP3_21"
84,98.2095324544235,4.59723410296472,144.21276322704,5.30165,2.463044,3.950001,3.892222,-0.000845,0.215303,0.232301,-0.000279,0.071158,14.087778,3.25,5.59,9.76,14.72,19.780001,50.762481,79.742792,26.855369,36.328486,715.130563057218,511.787645844108,164.97806325,283.76226879,495.44181456,747.22372032,1004.08192494248,2.71388501210311,1.44691898293633,1.88555334851442,2.37583555473364,2.75493378700106,3.03399103379428,3.94666558181052,3.3270257305579,4.39126869496068,10.7107965702588,9.82360355033539,5.71050534962308,7.44164850324942,9.37662841190896,10.872802357324,11.9741479885976,2605.257,196,20,0.084313461,"F","Mixed conifer with aspen","F. mixed conifer","fourFri, P2","Apache",0.2,105021,"ASP3_33"
85,185.256714148084,5.22712590572714,317.813896629328,5.775513,2.184678,3.82,4.427142,-0.171931,0.235869,0.241893,-0.052125,0.07151,16.532857,2.36,4.93,10.41,15.926001,21.454,34.000841,45.313813,19.341953,15.613617,562.131042132737,258.137697113769,80.24198476,167.62414613,353.94875481,541.497427766841,729.454042814,2.86407666340614,1.21194097397511,1.78002421300963,2.43449016387398,2.82885096032862,3.11146877203659,3.55537208977216,3.01268540371012,3.83544025353162,10.182858232042,8.04869314035226,4.3089011133224,6.32864840605311,8.65551838146242,10.0576177504775,11.0624292302965,2530.5415,141,25,0.082451391,"F","Mixed conifer with aspen","F. mixed conifer","fourFri, P2","Apache",0.1,88551,"ASP3_32"
86,25.3717719823745,3.27229419501219,0,4.350097,2.16405,3.35,3.37127,-0.053941,0.131358,0.222,-0.021587,0.052569,12.651269,2.5283,5.17,8.648999,12.868,16.92,23.19162,29.6742,12.043126,12.718912,293.40342316578,160.910377099328,58.635372846,119.9006754,200.58429818838,298.42976616,392.4022104,2.61383248434277,1.26081616854296,1.8196988379173,2.26685417940056,2.62958402782278,2.88591740754678,3.1860062922018,2.5682612516957,3.42342191038729,8.32768674187752,6.84503999763596,4.01696824628764,5.79757194751681,7.22221167907412,8.37787125851672,9.19455101921876,2665.6567,221,9,0.148599612,"E","Spruce-fir","E. spruce-fir","fourFri, P2","Apache",0.1,54410,"ASP3_21"
87,51.4801580639395,3.96043515652039,0,5.196435,1.93743,4.264999,3.995715,-0.183414,0.046915,0.227155,-0.061404,0.015707,17.274285,2.4755,5.78,9.705,15.53,19.75,31.442567,44.930001,16.870393,12.717519,543.147863489595,219.686047698915,77.8360746085,181.73803726,305.150112735,488.30306551,620.99069825,2.90549488038346,1.2457383535584,1.9139771019523,2.37071092204165,2.80517691183293,3.03254624667671,3.47947135681938,2.88314532109515,3.82711852010996,10.1095862136796,7.60854324677915,4.3345109192978,6.65962850385121,8.24882074854277,9.76053271553373,10.5516578035417,2764.9177,178,13,0.226862731,"E","Spruce-fir","E. spruce-fir","fourFri, P2","Apache",0.2,88551,"ASP3_32"
88,159.556338724344,5.07864490106631,0,9.614691,2.281831,7.030001,6.866985,-0.534772,0.345974,0.240107,-0.097576,0.063127,28.513016,2.1676,8.217999,18.049999,26.817999,34.639999,22.93698,28.831926,12.580262,9.931993,654.00247773168,283.191075320888,49.718197848,188.49607870302,414.01246606302,615.12390670302,794.53696426302,3.38483138637569,1.15297420335412,2.22115798581491,2.94706704907927,3.32568325723699,3.57346857454425,3.17542454346731,2.6086174150225,3.39557916231565,10.7482766597958,8.09547965778135,3.66118258331535,7.05311958307508,9.3581890388901,10.5604562388287,11.347279816917,2731.826,315,13,0.255457758,"E","Spruce-fir","E. spruce-fir","fourFri, P2","Apache",0.2,53706,"ASP3_31"
89,23.9829893552646,3.2181951674841,0,2.551569,2.465005,1.83,1.874762,-0.011076,0.120353,0.178339,-0.007605,0.082634,8.924762,3.18,4.61,6.7,8.96,11.41,30.06763,42.695521,15.652214,17.522857,268.34644165406,156.387328285034,95.6150634,138.6117743,201.453121,269.4059648,343.0716583,2.29503284643687,1.43031124653666,1.72455071953461,2.04122032885964,2.29857707159651,2.51850259921652,3.43616644112637,2.8125431805593,3.77724560256947,7.88611484820909,6.69921346236625,4.91478750571491,5.92584330848515,7.01397279297242,7.89829339576244,8.65399411331733,2702.8896,208,16,0.16694284,"E","Spruce-fir","E. spruce-fir","fourFri, P2","Apache",0.2,54688,"ASP3_22"
90,116.4221957977,4.76577595083336,180.66829434848,4.71388,2.657626,3.07,3.117302,-0.116689,0.316848,0.196352,-0.043706,0.118674,13.472698,2.9058,6.608,11.533999,14.81,19.639999,48.640297,73.689139,25.537701,39.850187,655.316032111306,536.889534694526,141.3389750226,321.415082576,561.017136957703,720.36279857,955.295384439703,2.6722639779968,1.36246262786655,2.02920032524309,2.52844487201949,2.76064265122138,3.02723089216375,3.90480294339667,3.27856640118816,4.31333468665492,10.4346642468148,9.91386259315796,5.32014807956125,7.9236274027507,9.87307897847792,10.7797655501556,11.8207400980623,2787.2969,196,1,0.152953207,"E","Spruce-fir","E. spruce-fir","fourFri, P2","Apache",0.1,105021,"ASP3_33"
91,2.62077982763525,1.28668942463638,3.18373613652581,1.27889,9.577975,0.6,0.671587,0.204039,0.107664,0.189516,0.319883,0.168791,2.308413,2.03,2.21,2.57,3.25,5.08,25.136394,26.701534,18.789088,46.349565,58.025178682722,106.993938390345,51.02687982,55.55143074,64.60053258,81.6932805,127.69288152,1.19646861821975,1.10856261952128,1.16627093714192,1.27256559579155,1.44691898293633,1.80500469597808,3.26332874917749,2.98513067467183,3.3214877907213,3.90447043932516,4.6154466504803,3.61760426654729,3.80592547850542,4.15279989396074,4.72177231474677,5.89032371678563,2737.475,283,11,0.30964998,"E","Spruce-fir","E. spruce-fir","fourFri, P2","Apache",0.1,5425,"ASP3_12"
92,237.008406432402,5.47230599419224,388.695798458067,6.328363,2.788468,2.68,2.23381,-0.941583,0.194978,0.17376,-0.275464,0.057042,24.49381,3.2607,9.67,17.200001,23.799999,25.34,62.93447,120.383137,38.181377,33.600689,1541.5049506307,823.00889223509,205.210426329,608.5763249,1082.47294693447,1497.84032306553,1594.7594698,3.23843567759898,1.44943346603118,2.36743606531366,2.9014216490278,3.21084361284835,3.27108869631514,4.15785865255958,3.6682015573812,4.79895196452918,13.4649578028626,11.4766066874678,6.02653947804714,9.84346452854601,12.0637011081339,13.3502338976972,13.6007244392637,2744.0884,304,9,0.131808261,"E","Spruce-fir","E. spruce-fir","fourFri, P2","Apache",0.1,105021,"ASP3_33"
