STBIOMSha,Pct_all_returns_above_ht,pct_all_returns_above_mean,all_returns_above_ht_div_Total_first_returns_x_100,All_returns_above_mode_div_Total_first_returns_x_100,Pct_first_returns_above_ht,Pct_first_returns_above_mean,Pct_first_returns_above_mode,pct_all_returns_above_mode,All_returns_above_mean_div_Total_first_returns_x_100
177.3472585,68.15,38.91,95.34,38.01,90.1,54.32,37.97,27.17,54.43
143.963373,39.81,23.06,48.24,15.92,43.63,27.07,15.84,13.14,27.94
46.3816085,33.13,16.1,38.08,15.85,37.46,18.51,15.85,13.79,18.51
121.971028,23.8,14.26,26,27.67,25.04,15.52,26.32,25.33,15.58
47.2217655,35.26,16.78,41.95,28.09,37.01,19.03,26.25,23.61,19.97
117.770243,32.46,16.26,37.1,29.17,34.01,17.65,26.92,25.52,18.59
206.4068065,51.04,26.82,65.3,8.84,59.88,34.03,8.84,6.9,34.31
161.063039,53.76,28.24,75.1,47.14,69.82,38.67,45.86,33.75,39.45
225.755128,64.96,37.92,89.11,50.96,81.28,51.93,50.87,37.15,52.03
197.5604475,51.82,20.22,68.06,59.69,56,22.32,49.37,45.44,26.55
188.8129305,57.4,26.5,69.52,10.99,60.7,29.52,10.99,9.07,32.1
166.449928,46.35,24.93,56.34,50.24,48.01,25.58,42.72,41.34,30.3
465.496399,70.58,37.58,101.56,12.71,77.54,49.03,12.71,8.83,54.08
72.9206855,48.24,20.56,66.16,43.12,62.92,26.82,41.19,31.44,28.19
48.630264,27.02,14.15,29.35,18.51,28.88,15.37,18.51,17.05,15.37
170.848397,63.16,21.81,95.22,63.92,86.01,29.51,59.14,42.4,32.89
148.065316,59.83,31.08,82.87,27.64,70.15,41.34,27,19.95,43.05
149.5232355,47.83,16.88,60.65,36.5,54.98,19.3,34.4,28.78,21.4
95.6049245,48.37,23.58,64.63,51.4,62.06,31.51,50.44,38.47,31.51
285.900485,61.98,34.5,77.64,39.48,67.7,41.17,37.87,31.52,43.22
147.6946585,56.59,29.62,83.21,56.78,81.3,43.56,56.78,38.61,43.56
312.983193,64.71,29.99,100.81,62.72,90.49,45.4,59.63,40.25,46.72
70.375504,35.82,18.44,42.32,25.87,38.76,21.24,24.86,21.9,21.78
36.5468295,41.56,17.1,53.15,47.14,45.37,18.53,40.56,36.86,21.87
91.2558765,38.75,22.13,46.88,20.71,38.03,25.49,20.41,17.12,26.77
32.963807,35.2,15.17,39.72,21.84,39.45,17.01,21.73,19.36,17.12
35.0641995,25.71,13.6,28.49,26.38,27.92,15.07,25.88,23.81,15.07
99.929262,37.79,21.16,45.75,19.73,43.68,25.62,19.73,16.3,25.62
94.39411,43.98,16.86,52.16,34.33,48.47,18.53,32.29,28.94,20
70.8450035,37.64,23.14,43.08,17.3,38.96,26,17.23,15.12,26.48
73.0195275,30.47,18.81,34.16,26.25,34.1,21.08,26.25,23.42,21.08
105.019625,40.03,18.55,49,31.01,44.4,21.44,28.76,25.33,22.71
74.526868,30.78,16.1,35.48,28.11,30.85,18.07,25.01,24.39,18.56
39.783905,27.28,14.24,29.4,21.92,29.27,15.34,21.92,20.34,15.34
98.496053,30.91,18.48,34.75,10.56,32.68,20.72,10.56,9.39,20.78
12.6764865,14.91,6.74,15.69,15.82,15.2,6.89,15.33,15.03,7.09
37.905907,22,11.51,25.07,11.89,24.56,13.11,11.89,10.43,13.11
67.7314805,36.85,18.4,44.11,16.13,42.21,21.58,16.01,13.48,22.02
72.204081,35.68,18.1,40.65,16.69,38.65,20.55,16.69,14.66,20.62
174.653814,59.46,30,83.86,78.74,69.99,41.12,67.95,55.83,42.3
59.502884,34.55,17.05,41.49,13.09,39.54,20.18,13.05,10.9,20.48
66.866613,34.55,17.67,39.94,25.01,35.07,19.51,23.06,21.64,20.42
95.7531875,22.81,8.6,25.12,18.69,22.64,8.31,16.55,16.97,9.47
107.9107535,35.09,20.05,38.37,20.8,33.75,21.26,20.27,19.02,21.92
64.4696945,35.37,17.95,40.49,18.7,38.42,20.35,18.59,16.34,20.55
41.7854555,18.2,9.58,19.46,4.09,18.74,10.17,4.09,3.83,10.24
93.6280845,44.88,23.15,54.32,21.7,52.05,28.01,21.7,17.93,28.01
73.785553,12.5,9.04,13.09,18.83,11.19,9.18,16.46,17.98,9.47
174.209025,48.19,20.83,59.33,62.06,53.92,22.5,56.46,50.41,25.64
139.268378,51.8,24.87,68.75,31.76,56.3,29.25,28.22,23.93,33.01
150.783471,57.8,31.14,70.96,30.67,64.76,37.63,30.3,24.98,38.23
89.45201,38.16,18.21,44.75,30.7,44.02,21.18,30.48,26.18,21.35
44.923689,20.78,10.36,24.05,28.05,22.86,11.16,26.86,24.23,12
27.3051025,15.68,8.93,15.93,19.76,15.93,9.08,19.67,19.45,9.08
36.423277,20.18,12.23,21.23,12.87,21.19,12.87,12.87,12.23,12.87
114.804983,17.42,10.27,18.72,21.98,18.58,10.96,21.67,20.45,11.04
19.471874,34.89,12.36,41.07,29.6,35.89,12.24,25.61,25.14,14.55
301.122153,49.17,30.29,58.75,7.81,51.43,35.01,7.81,6.53,36.2
115.5215875,59.38,33.8,87.49,48.37,79.95,49.53,48.13,32.82,49.81
143.3209,53.39,26.92,70.1,74.29,59.87,29.2,63.78,56.58,35.35
111.444355,37.62,16.77,46.3,38.58,40.04,18.98,33.73,31.35,20.64
147.373422,52.72,27.38,69.73,11.72,65.61,35.89,11.72,8.86,36.21
87.1539335,49.15,23.1,58.62,54.5,57.01,27.23,53.33,45.69,27.55
144.704688,47.44,25.65,67.25,19,60.01,36.02,19,13.4,36.36
44.97311,33.45,17.01,40.86,31.65,39.04,20.52,30.86,25.9,20.78
33.3838855,18.64,8.51,20.25,12.99,19.85,9.25,12.99,11.96,9.25
47.9136595,25.39,12.98,27.79,15.48,27.08,14.21,15.48,14.15,14.21
126.171813,29.11,12.39,31.76,26.4,28.76,11.34,23.5,24.2,13.52
67.7809015,35.49,17.54,42.18,24.91,40.91,20.71,24.77,20.96,20.85
55.1291255,32.1,16.35,38.76,14.27,37.22,19.35,14.1,11.82,19.74
119.845925,47.43,24.89,63.36,42.83,59.74,33.09,42.27,32.06,33.25
56.1175455,34.4,19.17,40.39,20.3,39.82,22.25,20.04,17.29,22.51
96.4945025,56.29,36.06,81.02,43.58,75.21,51.81,43.58,30.28,51.9
167.981979,47.27,28.5,61.25,27.25,53.96,36.13,27.25,21.03,36.92
139.5401935,54.71,30.21,74.12,27.92,69.52,40.75,27.88,20.61,40.92
311.006353,61.45,33.47,90.41,28.89,64.82,42.77,27.62,19.64,49.24
169.2422145,63.05,29.08,93.78,60.26,86.34,42.35,58.62,40.51,43.25
145.0753455,37.62,21.67,44.53,12.1,37.02,23.29,11.81,10.23,25.65
159.234462,54.73,27.64,78.04,38.88,76.05,39.28,38.75,27.27,39.41
211.7936955,64.21,34.79,96.25,51.37,89.48,51.87,51.23,34.27,52.15
211.077091,54.64,25.69,75.66,69.75,48.43,26.3,45.77,50.37,35.57
137.340959,27.91,16.99,31.59,11.49,24.94,18.23,11.4,10.15,19.23
113.1493795,32.88,14.13,38.48,25.4,33.9,14.38,21.94,21.7,16.54
115.15093,45.55,19.64,55.28,34.84,47.9,20.99,30.86,28.71,23.83
44.676584,20.33,11.68,21.11,29.5,21.11,12.13,29.5,28.42,12.13
77.3191545,40.17,20.8,52.42,37.06,50.85,27.04,36.87,28.41,27.13
94.0234525,39.91,20.17,48.14,45.4,42.91,23.43,40.75,37.64,24.33
147.8429215,57.5,33.19,82.44,22.2,75.3,47.41,22.2,15.48,47.59
67.311402,38.18,19.48,49.37,41.57,48.58,25.11,41.18,32.15,25.19
53.918311,37.71,18.62,44.46,39.11,43.6,21.77,38.56,33.17,21.95
26.3661035,22.34,7.92,25.07,19.38,23.09,7.93,17.65,17.27,8.89
38.202433,23.97,11.84,26.96,16.78,26.84,13.32,16.78,14.92,13.32
67.2866915,36.72,20.5,43.76,34.78,42.18,24.19,34.29,29.18,24.43
46.6781345,28.74,15.07,32.07,16.18,30.96,16.64,16,14.5,16.82
195.756581,42.27,20.41,53.19,47.36,41.14,22.32,36.87,37.64,25.69
52.1638655,34.94,16.48,40.44,31.55,38.46,18.56,29.98,27.25,19.07
28.5900485,20.09,11.23,21.37,11.07,21.37,11.95,11.07,10.4,11.95
5.3127575,21.02,12.68,24.44,25.48,19.8,12.74,20.77,21.91,14.75
108.8003315,44.03,23.68,62.02,16.02,58.97,33.36,16.02,11.37,33.36
37.164592,46.82,12.57,60.27,54.28,55.17,12.94,49.51,42.17,16.18
83.126122,43.28,20.95,54.27,20.82,48.06,23.58,18.82,16.61,26.27
83.0025695,40.51,21.24,57.6,36.56,52.64,29.77,35.92,25.72,30.2
204.207572,56.71,34.01,84.64,31.88,78.89,50.29,31.88,21.36,50.76
141.591165,53.66,26.55,79.18,46.27,78.02,39.18,46.27,31.36,39.18
131.904649,53.14,28.91,73.48,32.71,69.12,39.84,32.71,23.66,39.97
71.5368975,35.95,18.23,41.68,21.99,40.49,21.14,21.99,18.97,21.14
81.692913,43.7,23.18,52.91,24.45,49.82,27.93,24.41,20.2,28.06
126.9872595,48.13,24.67,65.25,60.8,56,31.15,53.71,44.85,33.44
91.92306,25.82,11.36,28.56,30.22,26.59,11.81,28.18,27.32,12.57
152.562627,54.56,33.95,69.39,36.6,61.32,42.02,36.08,28.78,43.18
190.5426655,60.48,34.71,85.52,47.87,73.27,46.05,45.2,33.85,49.09
114.4343255,53.4,27.68,73.69,33.5,71.08,38.1,33.4,24.28,38.2
162.5703795,58.01,33.19,77.37,26.73,71.81,43.95,26.73,20.04,44.27
257.384568,51.81,26.11,77.66,62.9,68.41,37.81,58.36,41.95,39.14
138.724747,47.05,27.94,56.19,28.81,49.41,33.37,28.81,24.12,33.37
174.060762,53.87,25.96,76.5,75.75,70.75,34.62,70,53.34,36.87
201.7612325,52.08,28.31,71.75,15.87,67,38.87,15.87,11.52,39
156.3433335,44.97,25.3,60.37,14.95,53.36,33.28,14.82,11.14,33.96
75.416446,43.94,23.45,60.71,36.67,58.01,32.4,36.67,26.54,32.4
110.1346985,38.13,22.92,44.98,27.86,40.02,26.21,27.03,23.62,27.03
26.4155245,29.41,13.15,36.35,22.29,33.79,16.02,21.95,18.04,16.26
82.1624125,43.19,18.42,54.21,49.77,50.45,22.55,46.24,39.65,23.12
48.6549745,39.81,20.56,49.29,28.4,48.12,25.46,28.4,22.93,25.46
59.058095,44.54,24.75,58.8,40.97,57.93,32.67,40.97,31.03,32.67
73.3160535,26.62,10.15,29.41,18.15,26.21,9.81,16.43,16.43,11.21
47.098213,20.58,12.85,22.34,7.12,19.5,13.52,7.12,6.56,13.94
79.666652,48.4,24.48,57.32,35.23,54.56,28.93,35.11,29.75,28.99
36.818645,35.01,17.4,40.33,25.12,39.1,20.01,24.96,21.8,20.04
51.644945,33.71,19.01,38.41,20.93,36.86,21.52,20.81,18.36,21.66
26.5637875,27.59,13.32,31.57,20.33,29.25,15.19,19.83,17.77,15.25
50.854209,30.58,15.17,36.7,15.1,36.19,18.2,15.1,12.58,18.2
112.9022745,45.06,24.26,59.9,31.57,58.51,32.25,31.57,23.75,32.25
149.547946,50.87,23.68,61.64,38.8,60.34,28.64,38.68,32.02,28.7
50.0881835,30.45,15.4,33.98,23.62,33.42,17.19,23.56,21.16,17.19
59.0828055,29.69,15.04,32.09,7.83,32.05,16.26,7.83,7.24,16.26
17.495034,10.55,5.02,10.88,10.68,10.72,5.18,10.52,10.36,5.18
28.7383115,19.48,9.08,21.57,15.27,21.15,10.02,15.11,13.79,10.06
25.3282625,17.93,9.17,19.06,15.18,19.02,9.75,15.18,14.29,9.75
19.718979,13.64,6.38,14.22,7.58,14.15,6.65,7.58,7.27,6.65
51.941471,35.16,16.66,40.91,22.05,40.61,19.38,22.05,18.95,19.38
51.249577,32.14,15.36,36.9,19.73,36.3,17.54,19.57,17.19,17.64
85.6218825,46.74,23.37,54.19,32.5,53.35,27.09,32.5,28.03,27.09
134.079173,54.25,26.38,64.55,36.23,63.35,31.39,36.19,30.45,31.39
91.3052975,43.91,21.62,51.4,39.24,47.97,25.1,38.3,33.52,25.31
78.727653,21.73,11.03,23.48,17.32,23.13,11.88,17.28,16.02,11.92
68.102138,36.22,18.85,40.14,12.75,39.69,20.86,12.75,11.5,20.89
86.0666715,40.89,24.86,47.14,21.1,43.38,27.85,20.87,18.3,28.66
144.3340305,42.25,16.36,49.77,31.71,45.43,17.36,28.77,26.92,19.27
55.203257,30.67,16.7,33.04,12.7,32.05,18,12.7,11.78,18
