"ID","STBIOMSha","logSTBIOMSha","TCUmha","Elev_stddev","Elev_kurtosis","Elev_skewness","Elev_MAD_median","Elev_MAD_mode","Elev_L2","Elev_L3","Elev_L4","Elev_LCV","Elev_Lskewness","Elev_Lkurtosis","Elev_mode","Elev_P01","Elev_P05","Elev_P10","Elev_P30","Elev_P60","Elev_P90","Pct_all_returns_above_ht","all_returns_above_ht_div_Total_first_returns_x_100","pct_all_returns_above_mean","All_returns_above_mode_div_Total_first_returns_x_100","mode_pctAllOver3m","mode_pctAlloverModeDiv1st","P01_pctAllOver3m","P10_pctAllOver3m","P30_pctAllOver3m","P60_pctAllOver3m","P90_pctAllOver3m","logmode","logP01","logP10","logP30","logP60","logP90","log_Pct_all_returns_above_ht","log_pct_all_returns_above_mean","log_all_returns_above_ht_div_Total_first_returns_x_100","logmode_pctAllOver3m","logmode_pctAlloverModeDiv1st","logP01_pctAllOver3m","logP10_pctAllOver3m","logP30_pctAllOver3m","logP60_pctAllOver3m","logP90_pctAllOver3m","elevation","aspect","slope","NDVI_Amp","R3ERUlabel","R3ERUcodeFull","R3ERUlabelName","Site","Forest","PlotSizeAcres","fpc","Stratum","lnBMAEstimates","lnBMAResidual","lnBMASqResidual","BMAEstimates","BMAResidual","BMASqResidual","MPMEstimates","MPMResidual","MPMSqResidual","lnMPMEstimates","lnMPMResidual","lnMPMSqResidual"
3135,24.364553,3.19312933013908,29.0853562787888,0.76,3.54,0.68,0.62,0.76,0.43,0.05,0.01,0.13,0.12,0.03,2.23,2.03,2.1,2.22,2.56,3.23,4.17,14.05,14.23,13.05,25.71,31.3315,57.3333,28.5215,31.191,35.968,45.3815,58.5885,0.802001585472027,0.708035793053696,0.797507195884188,0.940007258491471,1.17248213723457,1.42791603581071,2.64262239577975,2.5687881337687,2.65535241210176,2.11938735121925,2.60400292490224,1.87107124373738,2.10751037663907,2.48408423348509,3.09842755450777,3.77344289552643,1930.3625,176,2,0.037308907,"G","Ponderosa pine, evergreen oak","G. Ponderosa pine","fourFri, P1","Tonto",0.05,18.26465163,"Ton_214",21.6230419975317,2.74151100246832,7.51588257665486,34.9922607046786,-10.6277077046786,112.948171056085,33.9318682897972,-9.56731528979723,91.5335218543878,21.786730363896,-9.5673152897972,91.5335218543879
3140,23.771501,3.16848742620215,29.3883360288,3.09232,2.588173,0.82782,1.745,2.232,1.6959,0.409605,0.037271,0.311303,0.241527,0.021977,2.008,2.0307,2.0307,2.284,3.09,5.507,10.399,12.081667,12.478261,6.735424,17.173913,24.259987336,34.485217304,24.5342411769,27.594527428,37.33235103,66.533740169,125.637255133,0.697139201829483,0.708380561200535,0.825928291793764,1.12817109090965,1.70602001028034,2.3417096476781,2.49168917967474,1.90738076259494,2.52398801028343,1.73705420592561,1.98223971317411,1.76506417943529,2.05795658784977,2.81105170004144,4.25087159992413,5.83481259105947,2694.816,274,16,0.138317997,"E","Spruce-fir","E. spruce-fir","NorthKaibab","NorthKaibab",0.1,48249,"K11",21.4621820290105,2.30931897098952,5.33295410977211,29.3850896362686,-5.6135886362686,31.512377377244,28.7396722750175,-4.96817127501747,24.6827258179087,18.8434993723106,-4.9681712750175,24.6827258179087
3145,70.1036885,4.2499754103453,100.0602869552,4.295344,2.046436,0.303589,3.714,3.719143,2.459794,0.199627,0.063685,0.289737,0.081156,0.02589,8.180143,2.18021,2.18021,2.9255,5.1063,9.3012,14.6774,38.292337,46.859624,19.701987,26.599132,313.236792464191,217.584703435876,83.48533605077,112.0242318935,195.5321604231,356.1646849044,562.0319470838,2.10170963212444,0.779421202436764,1.07346540624615,1.6304750714999,2.23014342409333,2.68630889578362,3.64524979783928,2.98071949360178,3.84715640914648,7.6612566116185,6.89545412114325,2.84118498061426,3.91304955510625,5.943488924767,8.12942986582881,9.79226695928909,2782.4524,229,12,0.111429059,"E","Spruce-fir","E. spruce-fir","NorthKaibab","NorthKaibab",0.1,14743,"K12",70.0438761629349,0.0598123370650825,0.00357751566518704,87.5356633435312,-17.4319748435312,303.873746945506,88.367586290258,-18.263897790258,333.56996249299,63.1958947917182,-18.263897790258,333.569962492991
3151,111.3702235,4.71285999822709,146.73176345808,3.131312,2.386037,0.355802,2.386,2.480214,1.786161,0.138543,0.104309,0.240428,0.077565,0.058398,4.748286,2.173,2.173,3.5023,5.3059,8.2026,11.6357,56.985809,67.759952,28.642814,56.078431,270.584919073374,266.276428819266,123.830162957,199.5813988607,302.3610039731,467.4317969034,663.0697777813,1.55778371082211,0.776108701274293,1.25341989552869,1.66881940894918,2.10445117718386,2.4540779582449,4.04280227192536,3.35490259145576,4.21597134196102,6.29781152527994,6.27280752728664,3.13765402077275,5.06732880131983,6.74670689793289,8.50788000027493,9.92135194507444,2724.0276,83,6,0.061252455,"F","Mixed conifer, freq. fire","F. mixed conifer","NorthKaibab","NorthKaibab",0.1,6808,"K14",123.808093295478,-12.4378697954775,154.700605049252,114.617380527025,-3.24715702702484,10.5440287581568,116.78846795338,-5.41824445337956,29.3573729565783,122.661488494627,-5.41824445338001,29.3573729565784
3154,124.3185255,4.82284702602777,189.76468407168,6.343282,2.063132,0.219883,4.7865,4.972254,3.641726,0.218017,0.156519,0.25445,0.059866,0.042979,9.741746,2.9381,2.9381,6.02,10.0766,15.8826,23.8547,61.156201,87.031408,29.033177,64.052685,595.768176466946,623.98498788801,179.6830341581,368.16033002,616.2465749966,971.3194780026,1458.8628279947,2.27642036236944,1.07776311393215,1.79508725932073,2.31021590415695,2.76522417037673,3.17198126290911,4.11343126336966,3.36843921056047,4.46626906499987,9.36389868714174,9.46923932112954,4.43330448735514,7.38396805296645,9.50291432529299,11.3745595526531,13.0477268936731,2337.6167,332,15,0.051779649,"G","Ponderosa pine","G. Ponderosa pine","NorthKaibab","NorthKaibab",0.1,21465,"K34",181.497376105999,-57.1788506059991,3269.42095662316,201.71414224795,-77.3956167479499,5990.08149179554,201.407820328221,-77.0892948282205,5942.7593771123,182.895079421297,-77.089294828221,5942.7593771123
3159,81.643492,4.40236211017732,108.31700993472,4.602233,2.395069,0.4841,3.670001,4.541349,2.613517,0.29995,0.115603,0.298416,0.114769,0.044233,3.560651,2.13147,2.13147,3.1057,5.494,9.894401,15.227,49.856322,60.743982,25.161638,57.089716,177.520962785622,203.276554365116,106.26725465334,154.8387792354,273.910633068,493.298442253122,759.162215094,1.26994339331468,0.756811882528725,1.13323913281116,1.70365658767308,2.29196904159812,2.7230701678586,3.9091453088282,3.22532053305174,4.10666801558533,4.96439325845345,5.13644352135237,2.9584876202526,4.42999643980929,6.65984115755648,8.95964002694276,10.6448769722944,2329.0977,352,7,0.054848264,"G","Ponderosa pine","G. Ponderosa pine","NorthKaibab","NorthKaibab",0.1,13708,"K24",107.879005065234,-26.2355130652339,688.302145796061,114.105637953254,-32.4621459532541,1053.79091989037,114.660142310392,-33.0166503103925,1090.09919771874,107.633063025558,-33.016650310392,1090.09919771874
3165,81.396387,4.39933088627403,151.27995831968,4.970521,2.67701,0.747722,3.173,2.789238,2.769025,0.518543,0.219462,0.28859,0.187266,0.079256,6.510762,2.43498,2.43498,4.1282,6.1936,9.6544,17.273199,33.878045,41.363384,14.283553,28.708664,220.57188802029,186.915278641968,82.4923620141,139.855345369,209.827059512,327.072197648,585.182213015955,1.87345650006182,0.88993854294846,1.41784147661802,1.82351650084125,2.26741376998261,2.84915610951551,3.52276716445896,2.65910873548729,3.72239604503507,6.59975104245999,6.28956621125527,3.13504627748528,4.99472539823796,6.42382405301264,7.98757077713682,10.0369135890189,2630.3655,324,1,0.151162603,"F","Mixed conifer, freq. fire","F. mixed conifer","NorthKaibab","NorthKaibab",0.1,25514,"K22",59.7126696871131,21.6837173128869,470.183596505192,76.8637392649063,4.53264773509375,20.5448954904505,76.5729470938965,4.82343990610353,23.265572527792,57.9780747056686,4.8234399061035,23.265572527792
3169,143.765689,4.96818481459159,217.2637699272,4.595691,2.227104,-0.231397,3.437,3.2435,2.627346,-0.172349,0.16842,0.228448,-0.065598,0.064103,13.358095,2.32535,2.32535,4.5362,8.9523,13.2832,17.1262,39.715413,45.94947,22.499296,18.810106,530.522259818235,251.26718290807,92.35223561955,180.1570564506,355.5442917999,527.5477739616,680.1741061206,2.59212256812125,0.843870565344075,1.5120896571642,2.19191048251245,2.58650007887658,2.84060945468599,3.68173934912457,3.11348401983198,3.82754231445879,9.54351965680581,7.60630963331827,3.10691146599528,5.5671199901857,8.0700430732247,9.52281911691371,10.4583836048127,2691.9758,210,9,0.141516053,"F","Mixed conifer, freq. fire","F. mixed conifer","NorthKaibab","NorthKaibab",0.1,25514,"K22",77.9420800912177,65.8236089087823,4332.74748977633,100.538469289527,43.2272197104734,1868.59252389754,101.196402458904,42.5692865410964,1812.14415661798,74.9777387975713,42.569286541096,1812.14415661797
3170,63.555406,4.15191206089396,83.966674368,4.493921,2.435414,0.467405,3.328,3.112412,2.551694,0.280422,0.178128,0.259716,0.109896,0.069808,7.218412,2.42152,2.42152,4.3126,6.8778,10.6162,16.3578,30.562483,34.663734,14.325298,23.632935,220.612594036996,170.59226159922,74.00766383416,131.8037641858,210.2026455774,324.4574320246,499.9349844174,1.97663498411504,0.884395442170421,1.46154097049443,1.92829883336688,2.36238113634001,2.79470484780449,3.41977321099772,2.66202706517675,3.54569401074096,6.7596433665975,6.25138741602657,3.02443184106289,4.99813865767245,6.59434469314621,8.07880772422192,9.55725677116725,2648.2947,308,8,0.117107739,"F","Mixed conifer, freq. fire","F. mixed conifer","NorthKaibab","NorthKaibab",0.1,25514,"K22",53.7720648685096,9.78334113149039,95.7137636951116,68.5731420632845,-5.01773606328445,25.1776752007854,69.2101342445347,-5.65472824453466,31.975951519538,52.2595995101116,-5.6547282445347,31.975951519538
3173,89.155484,4.49038185671896,153.16920849296,5.591888,2.055175,0.009259,4.631001,4.694666,3.216075,-0.022372,0.104054,0.265207,-0.006956,0.032354,13.472334,2.19182,2.19182,4.2696,8.240399,14.0516,19.3668,46.220302,58.092976,25.188985,26.908721,622.695346124868,362.523276824814,101.30658232964,197.3422014192,380.873730380498,649.4691955832,895.1393447736,2.60063824935417,0.78473224892568,1.4515201460376,2.10904876507915,2.64273626829959,2.96356025984764,3.83341913879287,3.22640679578534,4.06204476154087,9.96933643815106,8.56247253486857,3.00820762185967,5.56428510816395,8.08486790070189,10.1307157896817,11.3605686190659,2658.2026,295,2,0.12974016,"F","Mixed conifer, freq. fire","F. mixed conifer","NorthKaibab","NorthKaibab",0.1,23464,"K23",107.569244965853,-18.4137609658531,339.066592907576,130.970426153236,-41.8149421532364,1748.48938727851,131.483860489125,-42.3283764891253,1791.69145620514,104.211707442051,-42.328376489125,1791.69145620514
