"ID","STBIOMSha","logSTBIOMSha","TCUmha","Elev_stddev","Elev_kurtosis","Elev_skewness","Elev_MAD_median","Elev_MAD_mode","Elev_L2","Elev_L3","Elev_L4","Elev_LCV","Elev_Lskewness","Elev_Lkurtosis","Elev_mode","Elev_P01","Elev_P05","Elev_P10","Elev_P30","Elev_P60","Elev_P90","Pct_all_returns_above_ht","all_returns_above_ht_div_Total_first_returns_x_100","pct_all_returns_above_mean","All_returns_above_mode_div_Total_first_returns_x_100","mode_pctAllOver3m","mode_pctAlloverModeDiv1st","P01_pctAllOver3m","P10_pctAllOver3m","P30_pctAllOver3m","P60_pctAllOver3m","P90_pctAllOver3m","logmode","logP01","logP10","logP30","logP60","logP90","log_Pct_all_returns_above_ht","log_pct_all_returns_above_mean","log_all_returns_above_ht_div_Total_first_returns_x_100","logmode_pctAllOver3m","logmode_pctAlloverModeDiv1st","logP01_pctAllOver3m","logP10_pctAllOver3m","logP30_pctAllOver3m","logP60_pctAllOver3m","logP90_pctAllOver3m","elevation","aspect","slope","NDVI_Amp","R3ERUlabel","R3ERUcodeFull","R3ERUlabelName","Site","Forest","PlotSizeAcres","fpc","Stratum","lnBMAEstimates","lnBMAResidual","lnBMASqResidual","BMAEstimates","BMAResidual","BMASqResidual","MPMEstimates","MPMResidual","MPMSqResidual","lnMPMEstimates","lnMPMResidual","lnMPMSqResidual","MPMlnlnEstimates","MPMlnlnResidual","MPMlnlnSqResidual","lnStepEstimates","lnStepResidual","lnStepSqResidual","StepEstimates","StepResidual","StepSqResidual","MPMOLDEstimates","MPMOLDResidual","MPMOLDSqResidual"
1973,175.969142869407,5.17030865506135,254.093266365106,3.146751,3.642485,-0.827258,1.92,1.905952,1.730057,-0.251793,0.25812,0.147688,-0.14554,0.149197,12.050952,2.5092,5.103,7.533,10.558001,12.79,15.36,48.454598,72.362385,27.874832,37.987385,583.924034677296,457.78415324052,121.5822773016,365.008486734,511.583694138598,619.73430842,744.26262528,2.48914366096538,0.919963977240451,2.01929336884356,2.35688396111633,2.54866361559075,2.73176672771953,3.88062723579465,3.32772420285629,4.28168662018292,9.65943868454786,9.05364806331636,3.57003726602927,7.83612484419385,9.14618809111561,9.89041344154034,10.600968365426,2073.4194,78,1,0.054089581,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P2","Sitgreaves, P2",0.1,8113,"ASP2_33",114.255075179347,61.7140676900599,3808.6261508533,128.324539072667,47.6446037967401,2270.00827094834,124.100245162578,51.8688977068289,2690.38254932148,115.310544586416,47.255164409424,2233.05056336165,119.080946473065,56.8881963963415,3236.26688922872,113.239549431315,62.729593438092,3935.00189290831,129.417946371282,46.5511964981247,2167.01389540702,128.713978459983,47.2551644094236,2233.05056336166
1974,112.25602230084,4.72078217597021,178.308200768793,2.931139,3.239136,-0.407629,1.79,1.796667,1.63819,-0.111137,0.242396,0.128191,-0.067841,0.147966,12.896667,5.3376,7.42,8.634,11.642,13.61,16.43,43.893079,59.938562,23.421993,30.791471,566.074423467693,397.107347927157,234.2836984704,378.972844086,511.003225718,597.38480519,721.16328797,2.55696890589078,1.67477611374224,2.15570789713329,2.45461924884954,2.61080481666337,2.79910893204918,3.78175665389392,3.15367545275559,4.09332007094341,9.66983417365234,8.76334032416748,6.33359571192731,8.15236268383548,9.28277267711287,9.87342848743502,10.5855488287509,2012.577,0,0,0.045290827,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P2","Sitgreaves, P2",0.1,8113,"ASP2_33",102.753137877594,9.5028844232457,90.3048123615658,115.445744101708,-3.1897218008678,10.1743251669313,112.498407496674,-0.242385195833762,0.0587505831593712,104.081345345569,-3.10983576778899,9.67107850262079,107.095608835774,5.1604134650655,26.6298671304293,101.895256854454,10.3607654463856,107.345460635017,117.421028911628,-5.16500661078805,26.6772932894843,115.365858068629,-3.10983576778915,9.67107850262073
1975,58.8686959611505,4.0753094716338,92.92311963392,4.36798,1.976284,0.067558,3.56,3.516191,2.517256,0.045699,0.0721,0.239882,0.018154,0.028642,9.456191,2.39,3.817,4.67,7.59,11.83,16.559999,36.081871,48.240813,17.836257,27.912432,341.197063813361,263.945288266512,86.23567169,168.50233757,273.86140089,426.84853393,597.515747678129,2.24666965927532,0.871293365943419,1.54115907168081,2.02683159140754,2.4706386779903,2.80699008857064,3.58579055083437,2.88123329572175,3.87620540551075,8.05608683507571,7.47932546254258,3.12427551860459,5.52627363656571,7.26779356860175,8.85919282606353,10.0652785358823,2144.88,3,1,0.041303062,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P2","Sitgreaves, P2",0.1,8113,"ASP2_33",75.7591991454836,-16.8905031843331,285.289097819967,89.9430071369224,-31.0743111757719,965.612815048705,88.0052217465011,-29.1365257853506,848.937134840401,76.5688364031198,-30.9715334983515,959.235887239509,78.3707238632432,-19.5020279020927,380.329092294003,74.0529366638498,-15.1842407026993,230.561165717509,90.8362069673194,-31.9675110061689,1021.92175992953,89.840229459502,-30.9715334983515,959.235887239511
1976,78.017104153972,4.35692808667565,95.9532878468993,4.953123,5.160081,1.414118,2.2,2.281587,2.560208,0.620327,0.576549,0.233401,0.242296,0.225196,8.968413,3.0672,5.016,5.992,8.42,10.88,17.177999,44.353295,63.691099,17.546258,40.667539,397.778667470835,364.723285445607,136.040426424,265.76494364,373.4547439,482.5638496,761.900857156705,2.19370873734105,1.12076509330924,1.79042524621492,2.13060982825424,2.3869262414278,2.84362943713004,3.7921870013735,2.86484070780417,4.15404481969052,8.3189537585442,8.12863461994598,4.25015081844047,6.78962734562716,8.07967089570434,9.0516706659798,10.7835745882076,2178.5261,346,5,0.035449147,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P2","Sitgreaves, P2",0.1,8113,"ASP2_33",91.4334904742136,-13.4163863202416,179.999421893967,105.047605805528,-27.0305016515558,730.648019534761,102.55075683831,-24.5336526843379,601.900114035718,92.9971562603449,-28.024425833958,785.368443323024,97.6763847624365,-19.6592806084645,386.487314042347,88.0619585611968,-10.0448544072248,100.899100062344,100.586556842632,-22.5694526886602,509.380194665673,106.04152998793,-28.0244258339582,785.368443323024
1977,355.9363975406,5.87475205629686,465.12156434609,5.457666,3.175862,-0.472239,3.42,3.444604,3.051125,-0.263282,0.421001,0.168518,-0.08629,0.137982,20.004603,2.9798,7.719,10.976,15.69,19.98,24.73,70.02422,112.419945,38.196324,45.150961,1400.80672148466,903.227049873483,208.658170756,768.58583872,1098.6800118,1399.0839156,1731.6989606,2.99596239707354,1.0918561841711,2.39571107098353,2.75302356674494,2.99473177322041,3.20801708153332,4.24884118220516,3.6427392806156,4.72224136833702,12.7293684130242,11.4146513788884,4.63912352035156,10.1789958590597,11.6971599059672,12.7241396877172,13.6303550892364,2312.595,55,12,0.05719219,"F","Mixed conifer, freq. fire","F. mixed conifer","fourFri, P2","Sitgreaves, P2",0.1,8113,"ASP2_33",282.631840865289,73.304556675311,5373.55802936388,293.104410360864,62.8319871797363,3947.85861295455,285.869480451765,70.0669170888347,4909.37287033363,280.305850907562,62.443603573366,3899.20362722765,280.304004680019,75.632392860581,5720.25884981726,286.392761546284,69.543635994316,4836.31730730993,293.10518656529,62.8312109753104,3947.76107262397,293.492793967234,62.4436035733655,3899.20362722763
1978,148.50017533268,5.0005861389335,235.17666045904,4.269384,2.276919,-0.064275,3.219999,3.409524,2.44716,-0.032,0.16159,0.196295,-0.013077,0.066032,14.619524,3.183,5.52,6.78,9.84,13.92,17.9,49.609622,78.401512,24.906802,27.356603,725.269059459928,399.940514116972,157.907426826,336.35323716,488.15868048,690.56593824,888.0122338,2.68235789565207,1.15782414829996,1.9139771019523,2.28645571106416,2.63332665490627,2.88480071284671,3.90418480685236,3.21514093885656,4.36184321288468,10.4724209427453,8.87580941835296,4.52035944879946,7.4725203221055,8.92674564867752,10.2809939175644,11.262795113893,2134.642,352,0,0.038624466,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P2","Sitgreaves, P2",0.1,8113,"ASP2_33",128.71943716889,19.7807381637902,391.277602304425,144.280133138248,4.22004219443218,17.808756122788,136.837561070092,11.6626142625879,136.016571437918,128.794062570852,4.343062948057,18.8621957707833,129.410024571835,19.0901507608449,364.433856071787,132.855791129014,15.644384203666,244.746757111915,145.170639943143,3.32953538953745,11.0858059101823,144.157112384623,4.34306294805674,18.8621957707833
1979,147.255525659318,4.99216934752758,212.711509329255,4.565554,2.169202,-0.232704,3.515,3.555714,2.61781,-0.145071,0.118888,0.189834,-0.055417,0.045415,16.454286,3.3754,6.34,7.34,10.93,15.67,19.83,46.231156,63.093304,25.019836,21.115322,760.700662934616,347.437547170092,156.0486439624,339.33668504,505.30653508,724.44221452,916.76382348,2.80058599038734,1.21651383582025,1.99333884262642,2.39151130218845,2.75174805636793,2.9871959425317,3.83365394309525,3.21966895026109,4.14461464664216,10.7364775250257,8.5417842967168,4.66369306352222,7.64177131395971,9.16822673359159,10.5492497866996,11.4518755038848,2170.738,281,5,0.049805305,"F","Mixed conifer, freq. fire","F. mixed conifer","fourFri, P2","Sitgreaves, P2",0.1,8113,"ASP2_33",120.947823310954,26.3077023483636,692.095202850095,139.509307794377,7.74621786494129,60.0038912111355,136.259128396006,10.9963972633115,120.920752772565,118.909370340283,7.99716432647702,63.9546372646808,122.42657007395,24.8289555853684,616.477035460199,126.844832693284,20.4106929660342,416.596387353719,139.904774445737,7.35075121358119,54.0335434039653,139.258361332841,7.99716432647728,63.9546372646807
1980,65.782034856826,4.18634677456075,103.80380118744,7.496468,1.948333,-0.257378,5.73,5.363333,4.287619,-0.347523,0.073174,0.252253,-0.081053,0.017066,22.803334,2.6663,4.3905,5.771,11.8,20.51,25.519001,37.503263,50.196524,20.843122,14.665036,855.199432278842,334.411714030024,99.9949501369,216.431330773,442.5385034,769.19192413,957.045806000263,3.12690675334029,0.980691743557735,1.75284537572883,2.46809953147162,3.02091257208429,3.23942331194235,3.62442794252426,3.03702401372648,3.91594578127239,11.3332482104743,8.39720226297436,3.55444655835349,6.353061758716,8.94544890679677,10.9490799381851,11.7410563694683,2073.277,0,0,0.037290081,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P2","Sitgreaves, P2",0.2,8278,"ASP2_32",123.473998378372,-57.6919635215461,3328.3626549714,142.073891873676,-76.2918570168498,5820.44744707945,142.795292460167,-77.0132576033408,5931.04184667853,125.47605614413,-76.841707112242,5904.64795192364,112.971747077936,-47.18971222111,2226.86893951118,119.749222040591,-53.9671871837654,2912.45729252757,142.896793089654,-77.1147582328283,5946.68593730756,142.623741969068,-76.8417071122423,5904.64795192363
1981,104.886563232416,4.65287941599117,152.46948620656,5.529117,2.128115,0.346566,3.620001,3.75,3.143137,0.311327,0.176071,0.235057,0.09905,0.056018,9.62,3.5302,5.12,6.794,9.91,13.74,22.237999,41.225271,58.355917,17.661136,42.874887,396.58710702,412.45641294,145.5334516842,280.084491174,408.54243561,566.43522354,916.767535272729,2.26384426467762,1.26135452656404,1.91603986973839,2.2935443483419,2.6203112867942,3.10180249231298,3.71905144210507,2.87136651926779,4.06656075890416,8.41935327725059,8.5081748171617,4.69104237102376,7.12585084068139,8.52980941623287,9.74507246991618,11.5357630321617,1983.2163,96,4,0.034084326,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P2","Sitgreaves, P2",0.1,8113,"ASP2_33",100.983702950021,3.90286028239527,15.2323183838985,118.295652516697,-13.4090892842812,179.803675433826,113.605280346734,-8.71871711431842,76.016028119509,103.527376616592,-12.087970135064,146.119021986211,107.079468601906,-2.19290536949003,4.80883395953823,103.005328065876,1.88123516653992,3.53904575182649,119.878789220163,-14.9922259877472,224.766840067684,116.97453336748,-12.0879701350645,146.11902198621
1982,289.070337314485,5.66667004021093,454.32968055952,6.862477,1.78968,-0.075994,6.4,8.430318,3.95207,-0.073639,-0.049731,0.216866,-0.018633,-0.012583,9.739683,5.0034,7.969,9.25,12.94,21.16,27.422001,52.085453,79.285289,26.034901,69.720071,507.295801131399,679.051390277493,260.6043555402,481.79044025,673.98576182,1102.12818548,1428.28734425145,2.27620857092357,1.61011768133886,2.22462355152433,2.56032328907275,3.0521126069901,3.31134564740153,3.95288569672028,3.25943798403417,4.37305260071277,8.99759230275589,9.66134050881989,6.36461115260079,8.7936826174076,10.1206653083555,12.0646522689508,13.0893708465105,2018.1711,0,5,0.035398388,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P2","Sitgreaves, P2",0.1,8113,"ASP2_33",201.794788155466,87.2755491590186,7617.02148100827,223.102791809253,65.9675455052322,4351.71705998488,216.596977410706,72.4733599037789,5252.38789574266,208.7521000943,65.360561595867,4272.00301212719,192.635990786488,96.4343465279971,9299.58319028184,206.88720001382,82.1831373006648,6754.06805657993,226.015086344561,63.0552509699236,3975.96467488005,223.709775718618,65.3605615958674,4272.00301212718
