"ID","PLOT_ID","X_albers","Y_albers","Site","Forest","fpcAcres","fpcStrataHa","fpc04StrataHaPlot","ForestHaSize","ForestHaSmplSize","dbhThreshcm","PlotSizeAcres","PlotSize","Elev_Class","CC_Class","Stratum","DOM_TYPE","Dom_Type_Label","Secondary_Label","STBIOMSha","logSTBIOMSha","Elev_stddev","Elev_kurtosis","Elev_skewness","Elev_MAD_median","Elev_MAD_mode","Elev_L2","Elev_L3","Elev_L4","Elev_LCV","Elev_Lskewness","Elev_Lkurtosis","Elev_mode","Elev_P01","Elev_P05","Elev_P10","Elev_P30","Elev_P60","Elev_P90","Pct_all_returns_above_ht","all_returns_above_ht_div_Total_first_returns_x_100","pct_all_returns_above_mean","All_returns_above_mode_div_Total_first_returns_x_100","mode_pctAllOver3m","mode_pctAlloverModeDiv1st","P01_pctAllOver3m","P10_pctAllOver3m","P30_pctAllOver3m","P60_pctAllOver3m","P90_pctAllOver3m","logmode","logP01","logP10","logP30","logP60","logP90","logmode_pctAllOver3m","logmode_pctAlloverModeDiv1st","logP01_pctAllOver3m","logP10_pctAllOver3m","logP30_pctAllOver3m","logP60_pctAllOver3m","logP90_pctAllOver3m","R3ERUCODE","elevation","aspect","slope","NDVI_Amp","R3ERUcodeFull","R3ERUlabel","R3ERUlabelName"
157,"0304070005950010_0004",-1381250.802,-200037.6337,"fourFri, P1","Coconino",45.01674809,18.2176477175497,455.441192938743,113600,7500,12.7,0.0666667,"1/15 Acre",2,999,"Coco2","JUDE2_PIPO","update","update",86.48675,4.45999122301395,2.66,2.84,0.91,1.49,1.42,1.45,0.34,0.13,0.26,0.23,0.09,4.56,2.09,2.39,2.66,3.68,5.27,9.92,39.48,42.79,17.15,27.73,180.0288,126.4488,82.5132,105.0168,145.2864,208.0596,391.6416,1.51732262352629,0.73716406597672,0.978326122793608,1.30291275218084,1.66203036255327,2.29455292129678,59.9038971768181,42.0753563503842,29.1032373247609,38.6243153278916,51.4389954560995,65.6169587136031,90.5889493327969,"PPF",2189.2288,321,3,0.041402323,"Ponderosa pine","G","G. Ponderosa pine"
158,"0304070005950011_0001",-1381971.754,-200888.6557,"fourFri, P1","Coconino",102.5904468,41.5169175537048,1037.92293884262,113600,7500,12.7,0.0333333,"1/30 Acre",3,999,"Coco3","JUDE2","update","update",61.875092,4.12511770775644,1.89,5.37,1.74,0.68,0.63,0.92,0.36,0.2,0.23,0.38,0.22,2.72,2.03,2.14,2.28,2.78,3.55,7.29,35.73,38.26,18.11,46.62,97.1856,126.8064,72.5319,81.4644,99.3294,126.8415,260.4717,1.00063188030791,0.708035793053696,0.824175442966349,1.02245092770255,1.26694760348732,1.98650354602057,35.7525770834015,46.6494582599546,25.2981188858086,29.4477885771877,36.5321716468119,45.2680378726021,70.9777716993148,"PPF",2184.08,187,3,0.034036311,"Ponderosa pine","G","G. Ponderosa pine"
159,"0304070005950011_0002",-1382190.244,-200670.5446,"fourFri, P1","Coconino",102.5904468,41.5169175537048,1037.92293884262,113600,7500,12.7,0.0333333,"1/30 Acre",3,999,"Coco3","JUDE2_PIPO","update","update",57.0565445,4.04404278489094,1.66,2.15,0.1,1.24,1.29,0.95,0.02,0.05,0.18,0.02,0.05,4.43,2.12,2.37,2.8,4.09,5.52,7.4,34.82,37.65,19.39,26.67,154.2526,118.1481,73.8184,97.496,142.4138,192.2064,257.668,1.48839958405704,0.751416088683921,1.02961941718116,1.40854497005471,1.708377860289,2.00148000021012,51.8260735168663,39.6956169068014,26.1643082079741,35.8513481062479,49.045535857305,59.4857170952631,69.6915336073165,"PPF",2174.9033,296,4,0.033103541,"Ponderosa pine","G","G. Ponderosa pine"
160,"0304070005950011_0003",-1381988.106,-200703.7153,"fourFri, P1","Coconino",102.5904468,41.5169175537048,1037.92293884262,113600,7500,12.7,0.0333333,"1/30 Acre",3,999,"Coco3","QUGA","update","update",131.5339915,4.8792653087092,2.4,1.91,0.17,1.99,2.01,1.38,0.06,0.01,0.21,0.04,0.01,5.95,2.31,2.9,3.33,4.63,7.22,9.85,39.97,45.71,19.49,25.73,237.8215,153.0935,92.3307,133.1001,185.0611,288.5834,393.7045,1.78339121955754,0.837247524533702,1.20297230399235,1.53255686809814,1.97685495290473,2.287471455184,71.2821470457148,45.8866560792155,33.4647835556121,48.0828029905743,61.2562980178828,79.0148924676023,91.4302340637044,"PPF",2186.292,263,4,0.048219061,"Ponderosa pine","G","G. Ponderosa pine"
161,"0304070005950011_0004",-1381807.299,-200734.2659,"fourFri, P1","Coconino",102.5904468,41.5169175537048,1037.92293884262,113600,7500,12.7,0.0333333,"1/30 Acre",3,999,"Coco3","PIPO_QUGA","update","update",169.7858455,5.13453791056752,4.65,2.53,0.51,3.41,4.17,2.63,0.29,0.16,0.28,0.11,0.06,11.37,2.26,3.01,3.84,5.82,10.69,16.21,54.13,66.9,27.93,23.67,615.4581,269.1279,122.3338,207.8592,315.0366,578.6497,877.4473,2.43097830776244,0.815364813284194,1.34547236659964,1.76130026174335,2.36930872503695,2.78562833574758,131.588855799181,57.5412565447371,44.1356973430734,72.8304192040383,95.3391831681674,128.25068128625,150.786061814017,"PPF",2188.9866,145,2,0.080602054,"Ponderosa pine","G","G. Ponderosa pine"
162,"0304070005950011_0006",-1382111.523,-200501.7353,"fourFri, P1","Coconino",102.5904468,41.5169175537048,1037.92293884262,113600,7500,12.7,0.0333333,"1/30 Acre",3,999,"Coco3","PIPO","update","update",292.07811,5.67702126649654,5.29,1.9,-0.27,4.67,6.24,3.03,-0.23,0.02,0.24,-0.07,0.006647,6.7,2.45,3.14,4.42,9.35,15.33,19.01,54.24,63.01,30.38,54.33,363.408,364.011,132.888,239.7408,507.144,831.4992,1031.1024,1.90210752639692,0.896088024556636,1.48613969608961,2.2353763433006,2.72981169288372,2.94496515650034,103.170312231769,103.341501909145,48.6038144519519,80.6082171159003,121.246812860624,148.064986222013,159.734910088578,"PPF",2183.497,325,0,0.028215596,"Ponderosa pine","G","G. Ponderosa pine"
163,"0304070005950011_0007",-1381921.633,-200550.8395,"fourFri, P1","Coconino",102.5904468,41.5169175537048,1037.92293884262,113600,7500,12.7,0.0333333,"1/30 Acre",3,999,"Coco3","JUDE2_PIPO","update","update",130.323177,4.87001734244968,5.4,1.73,0.51,2.92,2.77,3.01,0.57,-0.14,0.34,0.18,-0.04,3.11,2.22,2.81,3.1,4.16,9.34,17.01,57.47,67.16,26.99,65.47,178.7317,203.6117,127.5834,178.157,239.0752,536.7698,977.5647,1.13462272619114,0.797507195884188,1.1314021114911,1.42551507427317,2.23430625224075,2.83380140640777,65.206768074205,74.2837498837341,45.8327385474643,65.0216793473935,81.9243513184792,128.405580316276,162.858566826255,"PPF",2193.1792,256,10,0.028390921,"Ponderosa pine","G","G. Ponderosa pine"
167,"0304070005950019_0003",-1380906.614,-201242.3926,"fourFri, P1","Coconino",124.2792374,50.2940674664564,1257.35168666141,113600,7500,12.7,0.05,"1/20 Acre",4,999,"Coco4","PIPO_QUGA","update","update",115.1756405,4.74645827190919,5.51,2.02,0.02,4.46,4.64,3.16,-0.007938,0.09,0.26,-0.002506,0.02,14.3,2.45,3.33,4.31,8.03,14.25,19.37,61.27,98.42,33.21,40.43,876.161,578.149,150.1115,264.0737,491.9981,873.0975,1186.7999,2.66025953726586,0.896088024556636,1.46093790411566,2.08318452795867,2.65675690671466,2.9637254774189,162.994101848279,107.554293091659,54.9033132645851,89.5116653851663,127.636716028028,162.779495674407,181.587460001456,"PPF",2120.035,316,22,0.024893682,"Ponderosa pine","G","G. Ponderosa pine"
168,"0304070005950019_0004",-1380707.814,-201131.6654,"fourFri, P1","Coconino",124.2792374,50.2940674664564,1257.35168666141,113600,7500,12.7,0.05,"1/20 Acre",4,999,"Coco4","PIPO","update","update",106.798781,4.67094651260328,4.55,2.08,0.37,3.78,4.36,2.6,0.26,0.08,0.28,0.1,0.03,4.55,2.3,3.09,3.7,5.95,9.94,16.09,47.71,61.17,22.82,52.6,217.0805,239.33,109.733,176.527,283.8745,474.2374,767.6539,1.51512723296286,0.832909122935104,1.30833281965018,1.78339121955754,2.29656702066848,2.77819796100429,72.286720284658,79.6956924538464,39.7380942552338,62.42055882551,85.0855950850901,109.569212556093,132.547824719515,"PPF",2119.146,324,13,0.052143596,"Ponderosa pine","G","G. Ponderosa pine"
169,"0304070005950019_0005",-1380524.598,-200976.6237,"fourFri, P1","Coconino",124.2792374,50.2940674664564,1257.35168666141,113600,7500,12.7,0.05,"1/20 Acre",4,999,"Coco4","PIPO_QUGA","update","update",204.4299665,5.32022545472663,5.29,2.57,0.44,3.84,4.23,3,0.26,0.23,0.28,0.08,0.07,12.39,2.16,3.02,3.77,7.02,12.06,17.84,53.05,67.9,26.88,26.67,657.2895,330.4413,114.588,199.9985,372.411,639.783,946.412,2.51688969564105,0.770108221696074,1.32707500145992,1.94876321803772,2.48989419129904,2.88144312715186,133.520998353758,67.1254481827468,40.8542411609767,70.4013288274487,103.381888716901,132.088886848414,152.860557895406,"PPF",2114.7437,310,24,0.090974021,"Ponderosa pine","G","G. Ponderosa pine"
