PLOT_ID,X_albers,Y_albers,X_UTM,Y_UTM,Site,Forest,dbhThreshcm,PlotSizeAcres,PlotSize,RandomUniform,fpc,Elev_Class,CC_Class,Stratum,DOM_TYPE,Dom_Type_Label,Secondary_Label,LifeForm,ForestType,TCUFT,STBIOMS,Elev_ave,Elev_mode,Elev_stddev,Elev_variance,Elev_CV,Elev_IQ,Elev_skewness,Elev_kurtosis,Elev_AAD,Elev_MAD_median,Elev_MAD_mode,Elev_L2,Elev_L3,Elev_L4,Elev_LCV,Elev_Lskewness,Elev_Lkurtosis,Elev_P01,Elev_P05,Elev_P10,Elev_P20,Elev_P25,Elev_P30,Elev_P40,Elev_P50,Elev_P60,Elev_P70,Elev_P75,Elev_P80,Elev_P90,Elev_P95,Elev_P99,Pct_first_returns_above_ht,Pct_all_returns_above_ht,all_returns_above_ht_div_Total_first_returns_x_100,First_returns_above_ht,All_returns_above_ht,Pct_first_returns_above_mean,Pct_first_returns_above_mode,pct_all_returns_above_mean,pct_all_returns_above_mode,All_returns_above_mean_div_Total_first_returns_x_100,All_returns_above_mode_div_Total_first_returns_x_100,First_returns_above_mean,First_returns_above_mode,All_returns_above_mean,All_returns_above_mode,Total_first_returns,Total_all_returns
3083-0650,-948730.6024,-125881.0163,353095.56,3974338.906,SWJM,SWJM,12.7,0.1,1/10 Acre,0.561282182,14704,3,2,SWJM_32,TEIX,??,none,Forest,update,1172.46,24.83,8.893627,9.350318,3.768981,14.205216,0.423784,5.6125,0.262189,2.990416,3.057251,2.650001,2.62,2.128761,0.030134,0.195378,0.239358,0.014156,0.09178,2.18,2.84,3.53,5.24,5.8275,6.674,8.046,9.14,10.014,11.01,11.44,11.922,13.3,14.92,18.474099,63.156513,53.691414,0,2405,2589,37.394958,34.059874,30.215678,27.457487,38.261555,34.768908,1424,1297,1457,1324,3808,4822
3192-1550,-945397.9416,-140934.5049,357890.88,3959803.627,SWJM,SWJM,12.7,0.1,1/10 Acre,0.139355794,14704,3,2,SWJM_32,PIPO,Ponderosa pine,none,Forest,update,1812.67,32.14,7.838859,4.392222,4.737551,22.444389,0.604367,6.9125,0.905358,2.637523,3.916118,2.48,2.117778,2.580179,0.656172,0.189406,0.329152,0.254313,0.073408,2.1089,2.54,3.029,3.878,4.25,4.567,5.326,6.255,7.22,9.123,11.1625,12.224,15.831,17.381001,19.111101,49.155794,44.1891,0,1281,1346,19.378358,39.754413,17.202889,35.521996,20.107444,41.51957,505,1036,524,1082,2606,3046
3200-0730,-941949.7075,-139908.844,361255.409,3961139.09,SWJM,SWJM,12.7,0.1,1/10 Acre,0.879951101,14704,3,2,SWJM_32,POTR5,aspen,none,Deciduous ,update,2368.13,40.53,16.349461,18.734286,4.580421,20.980258,0.280157,5.349999,-1.229951,3.738006,3.617927,2.18,1.964286,2.422292,-0.726416,0.315235,0.148157,-0.299888,0.130139,3.1232,5.994,8.588,13.168,14.28,15.228,16.762001,18.02,18.77,19.360001,19.629999,19.914,20.690001,21.196001,21.6884,47.862233,44.515306,0,1209,1396,34.996041,22.604909,28.348214,18.239796,35.193983,22.644497,884,571,889,572,2526,3136
3200-2130,-941732.119,-141148.4396,361593.16,3959936.819,SWJM,SWJM,12.7,0.1,1/10 Acre,0.473902656,14704,3,2,SWJM_32,ABCO_PSME,white fir,Douglas fir,Forest,update,3317.06,62.88,12.567762,14.75,5.021892,25.219401,0.399585,7.68,-0.343907,2.090826,4.254146,3.73,3.58,2.870994,-0.268508,0.12137,0.228441,-0.093524,0.042275,2.3508,3.712,4.84,7.408,8.93,9.8,11.676001,13.41,14.75,16,16.610001,17.24,18.74,19.68,21.049199,66.673729,62.04518,0,3147,3598,42.351695,31.080508,35.333678,25.521642,43.411017,31.355932,1999,1467,2049,1480,4720,5799
3292-1212,-949061.2405,-147534.4802,354846.784,3952949.29,SWJM,SWJM,12.7,0.1,1/10 Acre,0.123394966,14704,3,2,SWJM_32,PIPO,Ponderosa pine,none,Forest,update,983,20,11.017557,11.151905,4.111037,16.900624,0.373135,5.679999,-0.049811,2.512699,3.318548,2.83,2.848095,2.340347,-0.04941,0.240549,0.21242,-0.021112,0.102783,2.5578,3.923,4.996,7.392,8.22,8.898,10.264,11.25,12.18,13.202,13.9,14.536,16.15,17.703999,20.1248,44.456617,38.70682,0,2029,2185,24.890447,24.255039,20.761736,20.248007,25.679229,25.043821,1136,1107,1172,1143,4564,5645
3480-1510,-953082.592,-132482.8215,349359.47,3967418.686,SWJM,SWJM,12.7,0.1,1/10 Acre,0.940810253,14704,3,2,SWJM_32,PIPO_PSME,Ponderosa pine,Douglas fir,Forest,update,2498.65,48.39,10.921972,13.989048,4.584648,21.018996,0.419764,7.095,0.04244,2.066139,3.865642,3.465,3.980951,2.638979,0.021642,0.119166,0.241621,0.008201,0.045156,2.31,3.68,4.73,6.32,7.1125,8.04,9.47,10.97,12.49,13.645,14.2075,15.04,17.435001,18.33,19.726999,54.841964,48.441247,0,1631,1818,30.094149,17.014122,25.206501,13.749001,31.809011,17.35037,895,506,946,516,2974,3753
3540-0910,-956223.8916,-134000.8305,346350.421,3965626.403,SWJM,SWJM,12.7,0.1,1/10 Acre,0.863690608,14704,3,2,SWJM_32,PINUS,update,update,update,update,2788.68,56.03,9.996672,8.028571,4.491333,20.172073,0.449283,6.85,0.186932,2.279921,3.77151,3.41,3.588571,2.573999,0.09504,0.153077,0.257486,0.036923,0.05947,2.1592,2.903,3.836,5.842,6.535,7.23,8.314,9.89,11.29,12.54,13.385,14.29,16,17.524,19.7454,58.481868,50.8595,0,1903,2219,33.282114,41.641057,26.633051,33.921614,35.709896,45.482483,1083,1355,1162,1480,3254,4363
3570-0770,-960033.1548,-134323.8438,342555.455,3964950.087,SWJM,SWJM,12.7,0.1,1/10 Acre,0.38103144,14704,3,2,SWJM_32,PIPO,Ponderosa pine,none,Forest,update,1258.12,30.04,11.439757,11.076508,3.706578,13.73872,0.324008,5.132501,-0.186014,2.450285,2.997563,2.559999,2.728492,2.112088,-0.093017,0.206611,0.184627,-0.04404,0.097823,3.3152,4.951,5.964,8.06,8.88,9.85,10.746,11.43,12.614,13.657,14.012501,14.628,16.279001,17.2745,18.8867,34.541145,31.757925,0,1020,1102,18.557399,20.690823,16.023055,17.925072,18.82831,21.063325,548,611,556,622,2953,3470
3571-0630,-962009.157,-133578.576,340498.968,3965499.674,SWJM,SWJM,12.7,0.1,1/10 Acre,0.111171597,14704,3,2,SWJM_32,PIPO,Ponderosa pine,none,Forest,update,1914.83,38.57,11.485633,13.429999,3.217144,10.350018,0.280102,3.6275,-0.710497,3.497756,2.456391,1.780001,1.950001,1.760812,-0.257239,0.30276,0.153306,-0.146091,0.171943,2.6234,4.7745,6.628,9.388,9.9825,10.47,11.32,11.9,12.704,13.33,13.61,13.86,14.871,15.991,18.0911,52.003465,43.215739,0,2401,2548,32.142084,15.681178,25.27137,12.330393,32.272038,15.746156,1484,724,1490,727,4617,5896
3620-0810,-958257.0467,-140683.1402,344951.612,3958843.908,SWJM,SWJM,12.7,0.1,1/10 Acre,0.814044911,14704,3,2,SWJM_32,PIPO,Ponderosa pine,none,Forest,update,1337,26.75,11.167443,10.771905,5.074272,25.748238,0.454381,8.635,-0.081403,1.931019,4.272026,4.24,4.168095,2.92225,-0.061721,0.074017,0.261676,-0.021121,0.025329,2.1278,2.72,3.72,6.376,7.17,8.35,9.882,10.96,12.508,14.642,15.805,16.73,18.040001,18.812,19.7322,41.354493,38.631791,0,2241,2496,22.716368,24.414099,19.96595,21.56013,23.80513,25.70585,1231,1323,1290,1393,5419,6461
