PLOT_ID,X_albers,Y_albers,X_UTM,Y_UTM,Site,Forest,dbhThreshcm,PlotSizeAcres,PlotSize,RandomUniform,fpc,Elev_Class,CC_Class,Stratum,DOM_TYPE,Dom_Type_Label,Secondary_Label,LifeForm,ForestType,TCUFT,STBIOMS,Elev_ave,Elev_mode,Elev_stddev,Elev_variance,Elev_CV,Elev_IQ,Elev_skewness,Elev_kurtosis,Elev_AAD,Elev_MAD_median,Elev_MAD_mode,Elev_L2,Elev_L3,Elev_L4,Elev_LCV,Elev_Lskewness,Elev_Lkurtosis,Elev_P01,Elev_P05,Elev_P10,Elev_P20,Elev_P25,Elev_P30,Elev_P40,Elev_P50,Elev_P60,Elev_P70,Elev_P75,Elev_P80,Elev_P90,Elev_P95,Elev_P99,Pct_first_returns_above_ht,Pct_all_returns_above_ht,all_returns_above_ht_div_Total_first_returns_x_100,First_returns_above_ht,All_returns_above_ht,Pct_first_returns_above_mean,Pct_first_returns_above_mode,pct_all_returns_above_mean,pct_all_returns_above_mode,All_returns_above_mean_div_Total_first_returns_x_100,All_returns_above_mode_div_Total_first_returns_x_100,First_returns_above_mean,First_returns_above_mode,All_returns_above_mean,All_returns_above_mode,Total_first_returns,Total_all_returns
0304070006240004_0001,-1393390.703,-210351.783,464840.6604,3830095.489,"fourFri, P1",Coconino,12.7,0.0666667,1/15 Acre,0.603738332,55.10205059,27,999,Coco27,PIPO,update,update,update,update,1209,20.58,11.23,11.86,2.4,5.78,0.21,3.47,0.08,2.42,1.99,1.74,1.94,1.37,0.03,0.1,0.12,0.02,0.07,6.78,7.34,8.17,9.14,9.44,9.7,10.41,11.21,11.9,12.53,12.92,13.43,14.54,15.23,16.35,36.19,30.58,36.7,501,508,18.2,15.1,15.17,12.58,18.2,15.1,252,209,252,209,1384,1661
0304070006240004_0002,-1393211.771,-210378.7989,465023.0223,3830096.953,"fourFri, P1",Coconino,12.7,0.0666667,1/15 Acre,0.295680334,55.10205059,27,999,Coco27,PIPO,update,update,update,update,2833.5,45.69,12.44,12.5,2.19,4.83,0.17,2.67,-0.94,5.6,1.64,1.34,1.33,1.18,-0.11,0.2,0.09,-0.1,0.17,4.75,9.02,9.74,10.88,11.22,11.51,12.15,12.6,13.09,13.65,13.9,14.17,14.92,15.52,17.01,58.51,45.06,59.9,1979,2026,32.25,31.57,24.26,23.75,32.25,31.57,1091,1068,1091,1068,3382,4496
0304070006240004_0003,-1392997.925,-210408.8722,465240.616,3830100.87,"fourFri, P1",Coconino,12.7,0.0666667,1/15 Acre,0.652633623,55.10205059,27,999,Coco27,PIPO,update,update,update,update,3556.5,60.52,12.13,11.11,2.42,5.85,0.19,3.46,-0.02,2.87,1.97,1.7,1.63,1.37,0.04,0.12,0.11,0.03,0.08,6.68,8.56,9.19,10.11,10.43,10.74,11.24,11.9,12.6,13.5,13.89,14.43,15.63,16.17,16.94,60.34,50.87,61.64,1995,2038,28.64,38.68,23.68,32.02,28.7,38.8,947,1279,949,1283,3306,4006
0304070006240004_0004,-1392947.256,-210237.0628,465263.7758,3830277.004,"fourFri, P1",Coconino,12.7,0.0666667,1/15 Acre,0.415212988,55.10205059,27,999,Coco27,PIPO,update,update,update,update,1218,20.27,12.29,11.31,2.16,4.67,0.17,3,-0.25,2.82,1.75,1.53,1.74,1.22,-0.05,0.12,0.09,-0.04,0.1,7.07,8.67,9.42,10.47,10.91,11.26,11.76,12.35,12.99,13.6,13.91,14.24,14.96,15.6,16.77,33.42,30.45,33.98,1071,1089,17.19,23.56,15.4,21.16,17.19,23.62,551,755,551,757,3204,3576
0304070006240004_0005,-1392793.333,-210258.9365,465420.433,3830279.601,"fourFri, P1",Coconino,12.7,0.0666667,1/15 Acre,0.083715436,55.10205059,27,999,Coco27,PIPO,update,update,update,update,1371,23.91,10.98,12.45,1.8,3.26,0.16,2.77,-0.46,3.53,1.47,1.4,1.53,1.01,-0.05,0.07,0.09,-0.05,0.07,6.9,8.06,8.77,9.36,9.66,9.99,10.52,11.02,11.57,12.19,12.43,12.64,13.34,13.71,14.2,32.05,29.69,32.09,1403,1405,16.26,7.83,15.04,7.24,16.26,7.83,712,343,712,343,4377,4732
0304070006240005_0001,-1393323.151,-210790.4164,464977.5005,3829676.534,"fourFri, P1",Coconino,12.7,0.1,1/10 Acre,0.842883429,85.96390423,28,999,Coco28,NVG,update,update,update,update,368,7.08,11.72,8.3,2.37,5.63,0.2,4.41,0.18,1.79,2.04,2.18,3.23,1.36,0.07,-0.01,0.11,0.05,-0.009055,7.99,8.43,8.71,9.17,9.41,9.95,10.93,11.53,12.23,13.31,13.82,14.32,15.06,15.58,16.17,10.72,10.55,10.88,265,269,5.18,10.52,5.02,10.36,5.18,10.68,128,260,128,264,2471,2548
0304070006240005_0002,-1393122.151,-210819.8615,465182.2086,3829679.062,"fourFri, P1",Coconino,12.7,0.1,1/10 Acre,0.058001925,85.96390423,28,999,Coco28,PIPO,update,update,update,update,626,11.63,10.11,8.43,2.43,5.94,0.24,3.65,0.48,2.43,2.03,1.73,1.67,1.38,0.16,0.08,0.13,0.12,0.06,6.31,6.84,7.17,7.94,8.17,8.46,8.99,9.74,10.51,11.35,11.82,12.48,13.48,14.65,16.02,21.15,19.48,21.57,511,521,10.02,15.11,9.08,13.79,10.06,15.27,242,365,243,369,2415,2674
0304070006240005_0003,-1392925.328,-210855.4557,465383.7363,3829674.917,"fourFri, P1",Coconino,12.7,0.1,1/10 Acre,0.802557729,85.96390423,28,999,Coco28,PIPO,update,update,update,update,670,10.25,14.18,12.64,1.61,2.59,0.11,2.73,-0.09,2.11,1.38,1.37,1.74,0.92,-0.01,0.02,0.06,-0.01,0.03,10.56,11.8,12.22,12.63,12.77,13.05,13.61,14.23,14.83,15.25,15.5,15.77,16.34,16.69,17.12,19.02,17.93,19.06,476,477,9.75,15.18,9.17,14.29,9.75,15.18,244,380,244,380,2502,2659
0304070006240005_0004,-1393483.358,-210559.0277,464781.3397,3829878.106,"fourFri, P1",Coconino,12.7,0.1,1/10 Acre,0.391216248,85.96390423,28,999,Coco28,PIPO,update,update,update,update,432,7.98,9.53,9.34,1.6,2.57,0.16,2.09,0.19,2.94,1.26,1.04,1.01,0.9,0.03,0.12,0.09,0.04,0.14,6.02,6.73,7.61,8.27,8.44,8.71,9.03,9.44,9.83,10.31,10.53,10.81,11.82,12.31,13.4,14.15,13.64,14.22,748,752,6.65,7.58,6.38,7.27,6.65,7.58,352,401,352,401,5286,5511
0304070006240005_0005,-1393302.54,-210593.443,464966.7525,3829872.619,"fourFri, P1",Coconino,12.7,0.1,1/10 Acre,0.402920192,85.96390423,28,999,Coco28,PIPO,update,update,update,update,1172,21.02,9.34,9.07,1.95,3.81,0.2,3.08,0.16,2.48,1.59,1.49,1.42,1.11,0.04,0.09,0.11,0.04,0.08,5.62,6.4,6.86,7.51,7.79,8.17,8.74,9.24,9.69,10.33,10.86,11.24,12.03,12.68,13.57,40.61,35.16,40.91,1913,1927,19.38,22.05,16.66,18.95,19.38,22.05,913,1039,913,1039,4710,5480
