PLOT_ID,X_albers,Y_albers,X_UTM,Y_UTM,Site,Forest,dbhThreshcm,PlotSizeAcres,PlotSize,RandomUniform,fpc,Elev_Class,CC_Class,Stratum,DOM_TYPE,Dom_Type_Label,Secondary_Label,LifeForm,ForestType,TCUFT,STBIOMS,Elev_ave,Elev_mode,Elev_stddev,Elev_variance,Elev_CV,Elev_IQ,Elev_skewness,Elev_kurtosis,Elev_AAD,Elev_MAD_median,Elev_MAD_mode,Elev_L2,Elev_L3,Elev_L4,Elev_LCV,Elev_Lskewness,Elev_Lkurtosis,Elev_P01,Elev_P05,Elev_P10,Elev_P20,Elev_P25,Elev_P30,Elev_P40,Elev_P50,Elev_P60,Elev_P70,Elev_P75,Elev_P80,Elev_P90,Elev_P95,Elev_P99,Pct_first_returns_above_ht,Pct_all_returns_above_ht,all_returns_above_ht_div_Total_first_returns_x_100,First_returns_above_ht,All_returns_above_ht,Pct_first_returns_above_mean,Pct_first_returns_above_mode,pct_all_returns_above_mean,pct_all_returns_above_mode,All_returns_above_mean_div_Total_first_returns_x_100,All_returns_above_mode_div_Total_first_returns_x_100,First_returns_above_mean,First_returns_above_mode,All_returns_above_mean,All_returns_above_mode,Total_first_returns,Total_all_returns
031102Lidar10011_0011,-1345393.356,-250243.0318,518923.3579,3798512.894,"fourFri, P1",Sitgreaves,12.7,0.1,1/10 Acre,0.449907398,8278,3,2,ASP1_32,PIPO,update,update,update,update,1496,27.71,12.49,15.28,3.78,14.35,0.3,5.72,-0.35,2.43,3.17,2.81,2.91,2.15,-0.16,0.14,0.17,-0.07,0.06,3.31,5.82,7.41,9.2,9.8,10.38,11.32,12.92,14,15.09,15.53,15.94,17.23,17.99,19.25,30.01,28.47,31.61,1683,1773,16.85,8.96,15.2,8.07,16.88,8.96,945,503,947,503,5608,6227
031102Lidar10012_0012,-1354563.233,-239958.8183,508171.6968,3807156.728,"fourFri, P1",Sitgreaves,12.7,0.2,1/5 Acre,0.898139974,8278,3,2,ASP1_32,PIPO,update,update,update,update,1132.14,19.89,14.33,17.1,4.16,17.37,0.29,4.92,-1,3.33,3.31,2.11,2.1,2.25,-0.53,0.29,0.15,-0.23,0.12,2.75,5.35,7.98,10.98,12.37,13.16,14.45,15.6,16.42,17.06,17.29,17.53,18.5,19.38,20.53,26.57,25.58,27.86,1584,1661,17.11,8.23,15.84,7.57,17.26,8.25,1020,491,1029,492,5961,6493
031102Lidar10013_0013,-1360094.164,-236405.9187,502105.5711,3809774.313,"fourFri, P1",Sitgreaves,12.7,0.1,1/10 Acre,0.71635399,8278,3,2,ASP1_32,PIPO,update,update,update,update,1854.09,30.16,15.21,16.98,2.51,6.34,0.16,3.41,-0.66,3.47,2.03,1.71,1.84,1.4,-0.16,0.13,0.09,-0.11,0.09,8.1,10.89,11.47,13.27,13.74,14.02,14.77,15.45,16.29,16.9,17.15,17.41,18.06,18.77,19.55,27.58,26.33,28.92,1070,1122,15.33,8.22,13.96,7.48,15.33,8.22,595,319,595,319,3879,4261
031102Lidar10014_0014,-1357695.657,-236701.4891,504539.0484,3809858.675,"fourFri, P1",Sitgreaves,12.7,0.2,1/5 Acre,0.666554281,8049,3,1,ASP1_31,PIPO,update,update,update,update,1002.09,16.79,15.07,14.29,2.91,8.5,0.19,3.55,-1.03,5.53,2.19,1.79,2,1.57,-0.18,0.25,0.1,-0.11,0.16,4.2,10.17,11.6,12.98,13.57,13.99,14.64,15.26,15.95,16.75,17.12,17.48,18.27,19.2,20.99,15.62,15.29,16.36,1038,1087,8.73,10.68,8.21,10.09,8.79,10.79,580,710,584,717,6643,7106
031102Lidar10015_0015,-1354259.052,-239331.3425,508375.043,3807818.666,"fourFri, P1",Sitgreaves,12.7,0.2,1/5 Acre,0.732644655,8049,3,1,ASP1_31,NVG,update,update,update,update,480.5,8,15.25,15.15,5.09,25.97,0.33,9.02,-0.29,1.93,4.33,4.37,4.48,2.92,-0.24,0.03,0.19,-0.08,0.01,5.87,6.69,7.47,9.76,10.78,12.12,14.73,15.58,17.19,19.1,19.8,20.21,21.47,22.18,23.62,13.95,13.98,14.81,859,912,7.97,8.09,7.68,7.82,8.14,8.28,491,498,501,510,6154,6519
031102Lidar10016_0016,-1337765.195,-243575.3385,525458.9966,3806231.715,"fourFri, P1",Sitgreaves,12.7,0.2,1/5 Acre,0.807590615,8278,3,2,ASP1_32,PIPO,update,update,update,update,1746.21,30.67,16.74,11.87,7.36,54.21,0.43,10.31,-0.62,2.23,6.2,4.53,8.59,4.12,-0.7,0.18,0.24,-0.17,0.04,2.21,2.94,3.84,10.25,12.15,13.26,16.18,19.18,20.73,21.83,22.46,23.17,24.52,26.36,27.37,27.18,28.69,31.94,1336,1570,17.92,22.54,17.43,23.57,19.41,26.25,881,1108,954,1290,4914,5471
031102Lidar10017_0017,-1357906.293,-232224.9432,503620.6081,3814209.876,"fourFri, P1",Sitgreaves,12.7,0.2,1/5 Acre,0.50958016,8278,3,2,ASP1_32,PIPO,update,update,update,update,3774.5,65.54,21.05,18,5.69,32.48,0.27,7.96,-0.21,2.32,4.66,4.01,4.85,3.25,-0.13,0.23,0.15,-0.04,0.07,8.25,10.85,13.07,16.18,17.41,18.08,19.55,21.1,22.66,24.23,25.37,26.96,28.88,29.77,30.48,24.43,27.77,31.54,1573,2031,13.99,18.79,14.05,19.62,15.96,22.28,901,1210,1028,1435,6438,7313
031102Lidar10018_0018,-1331092.903,-235991.0621,530899.3776,3814698.65,"fourFri, P1",Sitgreaves,12.7,0.1,1/10 Acre,0.275422462,8194,2,2,ASP1_22,JUNIP_PIPO,update,update,update,update,1211.48,25.06,6.16,4.41,2.79,7.81,0.45,4.43,0.51,2.16,2.39,1.99,1.77,1.58,0.22,0.05,0.25,0.14,0.03,2.09,2.45,2.83,3.62,3.93,4.21,4.71,5.44,6.46,7.77,8.36,9.06,10.3,11.19,12.43,37.67,33.02,38.37,1032,1051,18.43,28.14,15.93,24.63,18.51,28.62,505,771,507,784,2739,3182
031102Lidar10019_0019,-1360668.319,-243575.738,502669.6185,3802662.823,"fourFri, P1",Sitgreaves,12.7,0.1,1/10 Acre,0.132380213,8438,2,3,ASP1_23,POTR5,update,update,update,update,1350.73,34.04,9.19,10.34,2.55,6.51,0.27,3.53,-0.24,2.82,2.06,1.7,1.68,1.44,-0.1,0.15,0.15,-0.07,0.1,3.21,4.66,5.61,6.94,7.47,7.99,8.76,9.45,10.15,10.72,11,11.37,12.12,12.75,15,53.66,44.13,56.95,1354,1437,30.83,21.32,23.95,16.55,30.91,21.36,778,538,780,539,2523,3256
031102Lidar10020_0020,-1348442.134,-230593.296,512780.3293,3817282.523,"fourFri, P1",Sitgreaves,12.7,0.1,1/10 Acre,0.437204004,8438,2,3,ASP1_23,PIPO,update,update,update,update,1056.8,23.99,6.56,2.37,2.61,6.86,0.39,4.04,-0.07,2.16,2.17,1.89,4.42,1.49,-0.04,0.07,0.22,-0.02,0.05,2.05,2.32,2.56,3.85,4.47,5.14,6.08,6.8,7.46,8.18,8.52,8.82,9.86,10.72,11.94,44.98,38.07,45.33,892,899,28.29,49.57,23.8,42.18,28.34,50.22,561,983,562,996,1983,2361
