"PLOT_ID","X_albers","Y_albers","X_UTM","Y_UTM","Site","Forest","dbhThreshcm","PlotSizeAcres","PlotSize","RandomUniform","fpc","Elev_Class","CC_Class","Stratum","DOM_TYPE","Dom_Type_Label","Secondary_Label","LifeForm","ForestType","TCUFT","STBIOMS","Elev_ave","Elev_mode","Elev_stddev","Elev_variance","Elev_CV","Elev_IQ","Elev_skewness","Elev_kurtosis","Elev_AAD","Elev_MAD_median","Elev_MAD_mode","Elev_L2","Elev_L3","Elev_L4","Elev_LCV","Elev_Lskewness","Elev_Lkurtosis","Elev_P01","Elev_P05","Elev_P10","Elev_P20","Elev_P25","Elev_P30","Elev_P40","Elev_P50","Elev_P60","Elev_P70","Elev_P75","Elev_P80","Elev_P90","Elev_P95","Elev_P99","Pct_first_returns_above_ht","Pct_all_returns_above_ht","all_returns_above_ht_div_Total_first_returns_x_100","First_returns_above_ht","All_returns_above_ht","Pct_first_returns_above_mean","Pct_first_returns_above_mode","pct_all_returns_above_mean","pct_all_returns_above_mode","All_returns_above_mean_div_Total_first_returns_x_100","All_returns_above_mode_div_Total_first_returns_x_100","First_returns_above_mean","First_returns_above_mode","All_returns_above_mean","All_returns_above_mode","Total_first_returns","Total_all_returns"
"0312040008240010_0001",-1397250.07718,-233522.045056,464677.182139,3806803.49818,"fourFri, P1","Tonto",12.7,0.05,"1/20 Acre",0.214237364707515,62.35404224,999,999,"31204000824010","TEIX","update","update","update","update",960.18,21.72,4.36,2.92,2.23,5.01,0.51,2.06,2.23,9.42,1.54,1,0.88,1.08,0.36,0.24,0.24,0.33,0.22,2.04,2.17,2.4,2.74,2.92,3.06,3.39,3.75,4.28,4.71,4.98,5.26,7.06,8.62,13.56,27.13,25.5,27.96,718,740,14.21,28.15,13.4,26.5,14.7,29.06,376,745,389,769,2646,2901
"0312040008240010_0002",-1397394.99032,-233308.573638,464499.117985,3806989.94655,"fourFri, P1","Tonto",12.7,0.05,"1/20 Acre",0.89477282599546,62.35404224,999,999,"31204000824010","TEIX","update","update","update","update",1433.59,29.86,8.79,3.46,4.84,23.51,0.55,8.46,0.45,2.05,4.16,4.14,4.81,2.75,0.36,0.02,0.31,0.13,0.007626,2.2,2.69,3.12,3.86,4.2,4.71,6.32,8.28,9.76,11.34,12.66,13.53,16.07,17.6,19.09,56.6,48.18,63.65,827,930,31.75,54.41,24.92,46.01,32.92,60.78,464,795,481,888,1461,1930
"0312040008240010_0003",-1397200.02366,-233342.922469,464698.560836,3806986.73573,"fourFri, P1","Tonto",12.7,0.05,"1/20 Acre",0.985280177555978,62.35404224,999,999,"31204000824010","JUDE2_QUAR","update","update","update","update",268.73,7.46,4.79,3.03,3.09,9.54,0.64,2.35,1.49,4.01,2.4,0.85,0.77,1.52,0.63,0.27,0.31,0.41,0.18,2.03,2.13,2.31,2.66,2.82,2.94,3.23,3.55,3.83,4.31,5.17,6.85,10.6,11.28,13.92,8.64,8.66,9.04,152,159,3.07,8.58,3.27,8.61,3.41,8.98,54,151,60,158,1758,1834
"0312040008240010_0004",-1397001.764,-233378.60552,464901.491916,3806982.73196,"fourFri, P1","Tonto",12.7,0.05,"1/20 Acre",0.584920128108934,62.35404224,999,999,"31204000824010","TEIX","update","update","update","update",1196.22,28.18,6.57,2.59,2.66,7.08,0.4,4.42,0.007806,1.95,2.27,2.19,4.13,1.53,-0.008036,0.02,0.23,-0.005245,0.01,2.14,2.49,2.8,3.64,4.28,4.75,5.89,6.73,7.51,8.4,8.71,9.16,10.02,10.59,11.61,46.9,39.54,48.32,1495,1540,28.58,50.17,23.52,42.37,28.74,51.77,911,1599,916,1650,3187,3894
"0312040008240010_0005",-1397016.15655,-233196.480003,464858.270475,3807158.85192,"fourFri, P1","Tonto",12.7,0.05,"1/20 Acre",0.412089441670105,62.35404224,999,999,"31204000824010","TEIX","update","update","update","update",1199.38,29.44,5.18,4.59,2.2,4.86,0.42,2.73,1.21,5.02,1.68,1.37,1.31,1.18,0.22,0.16,0.22,0.19,0.14,2.14,2.41,2.76,3.28,3.5,3.73,4.33,4.87,5.42,5.92,6.23,6.6,8.23,8.91,12.99,36.33,32.97,38.16,634,666,19.14,24.58,16.88,21.93,19.54,25.38,334,429,341,443,1745,2020
"0312040008240011_0001",-1396435.10101,-233803.356929,465532.722526,3806655.18611,"fourFri, P1","Tonto",12.7,0.1,"1/10 Acre",0.473339905031025,83.53715577,999,999,"31204000824011","TEIX","update","update","update","update",1926.1,43.34,7,3.97,3.84,14.81,0.54,5.64,0.88,3.05,3.15,2.42,1.96,2.12,0.45,0.16,0.3,0.21,0.07,2.13,2.45,2.8,3.61,3.97,4.29,5.15,5.94,7.01,8.52,9.61,10.7,12.63,14.42,17.87,66.19,52.85,74.2,3321,3723,32.46,57.8,24.23,45.37,34.02,63.7,1629,2900,1707,3196,5017,7044
"0312040008240011_0002",-1396738.64528,-233467.572277,465177.413051,3806936.66661,"fourFri, P1","Tonto",12.7,0.1,"1/10 Acre",0.536440800176933,83.53715577,999,999,"31204000824011","2TD","update","update","update","update",1820.99,32.4,10.57,4.43,7.89,62.39,0.74,8.65,1.14,3.17,6.26,3.84,3.52,4.18,1.29,0.41,0.39,0.31,0.09,2.14,2.75,3.21,4.12,4.55,5.01,5.95,7.96,10.05,11.78,13.2,16.53,25.09,27.73,30.81,73.29,68.8,84.39,1973,2272,30.34,61.92,28.13,56.9,34.5,69.79,817,1667,929,1879,2692,3302
"0312040008240011_0003",-1396544.83684,-233498.328741,465375.133215,3806936.79254,"fourFri, P1","Tonto",12.7,0.1,"1/10 Acre",0.595129558350891,83.53715577,999,999,"31204000824011","TEDX","update","update","update","update",2591.47,46.99,11.53,5.83,7.06,49.96,0.61,13.07,0.43,1.78,6.26,5.25,3.71,4,0.55,-0.08,0.34,0.13,-0.02,2.17,2.68,3.24,4.88,5.54,6.01,7.39,9.33,12.58,16.4,18.61,19.45,22.31,23.46,25.28,69.63,61.71,82.74,2607,3098,34,55.76,28.36,48.02,38.03,64.39,1273,2088,1424,2411,3744,5020
"0312040008240011_0004",-1396353.84207,-233532.643122,465570.618299,3806932.99464,"fourFri, P1","Tonto",12.7,0.1,"1/10 Acre",0.345662071602419,83.53715577,999,999,"31204000824011","TEIX","update","update","update","update",2999.55,60.93,15.31,14.45,6,36.03,0.39,8.11,0.17,2.46,4.83,4.23,4.3,3.41,0.13,0.35,0.22,0.03,0.1,3.88,5.23,7.38,9.94,11.23,12.19,13.63,14.77,16.28,18.61,19.35,20.16,24.76,26.27,28.04,41.88,38.27,48.16,2177,2503,21.01,24.09,17.63,20.5,22.18,25.8,1092,1252,1153,1341,5197,6539
"0312040008240011_0005",-1396155.06822,-233559.099368,465772.596633,3806938.10654,"fourFri, P1","Tonto",12.7,0.1,"1/10 Acre",0.0706519200466573,83.53715577,999,999,"31204000824011","TEDX","update","update","update","update",2245.58,51.05,8.13,3.48,4.73,22.39,0.58,8.17,0.58,2.26,4.05,3.6,3.72,2.66,0.43,0.03,0.32,0.16,0.01,2.09,2.38,2.78,3.61,3.88,4.39,5.28,7.21,8.77,10.81,12.06,12.98,14.93,16.62,19.56,43.79,39.66,48.86,1140,1272,22.55,41.18,20.04,37.1,24.7,45.71,587,1072,643,1190,2603,3207
