"site","div","rmsepop","div","Pctrmsepop","div","biaspop","div","Pctbiaspop","div","rmsesmp","div","Pctrmsesmp","div","biassmp","div","Pctbiassmp","rowEnd","NA"
"Kaibab Plateau, AZ","&",42.85,"&",37.54,"&",-0.33,"&",-0.2861,"& ","&",43.63,"&",35.68,"&",-0.51,"&",-0.4135,"\\"
"Coconino NF, 4FRI, AZ","&",52.72,"&",46.2,"&",-0.51,"&",-0.4492,"& ","&",56.11,"&",45.89,"&",-1.1,"&",-0.8808,"\\"
"Tonto NF, 4FRI, AZ","&",26.7,"&",23.39,"&",-0.97,"&",-0.8529,"& ","&",27.41,"&",22.42,"&",-0.61,"&",-0.4987,"\\"
"Apache-Sitgreaves NF, 4FRI, AZ, Phase 1","&",33.52,"&",29.37,"&",4,"&",3.526,"& ","&",35.64,"&",29.14,"&",4.1,"&",3.32,"\\"
"Southwest Jemez Mountains, NM","&",46.99,"&",41.18,"&",0.76,"&",0.6697,"& ","&",47.29,"&",38.67,"&",0.67,"&",0.5478,"\\"
