"site","div","rmsepop","div","Pctrmsepop","div","biaspop","div","Pctbiaspop","div","rmsesmp","div","Pctrmsesmp","div","biassmp","div","Pctbiassmp","rowEnd","NA"
"Apache-Sitgreaves NF, 4FRI, AZ, Phase 2","&",33.78,"&",41.67,"&",15,"&",18.06,"& ","&",34.65,"&",42.09,"&",15,"&",18.34,"\\"
"Apache-Sitgreaves NF, 4FRI, AZ, Phase 3","&",21.89,"&",27.01,"&",7.7,"&",9.487,"& ","&",22.76,"&",27.64,"&",6,"&",7.243,"\\"
