PLOT_ID,X_UTM,Y_UTM,Site,Forest,R3ERU,R3ERUCODE,R3ERUSUBCL,R3ERUSUBCO,PROV_SUBCL,SYSTEMTYPE,SOURCE,TEUI_MUS,UID_,SHAPE_AREA,SHAPE_LEN
0304070006810027_0001,457403.9966,3811636.033,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,550,263984,1483229.942,11991.2666
0304070006810040_0001,457183.5614,3811697.431,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,550,263984,1483229.942,11991.2666
0304070006810040_0002,457061.4877,3811739.672,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,550,263984,1483229.942,11991.2666
0304070006810022_0002,457560.302,3812218.329,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,550,263986,2026861.103,16864.44326
0304070006810022_0004,457562.1037,3812382.266,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,550,263986,2026861.103,16864.44326
0304070006810025_0001,457540.4532,3812540.894,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,550,263986,2026861.103,16864.44326
0304070006810025_0004,457382.4826,3812938.008,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,550,263986,2026861.103,16864.44326
0304070006810027_0004,457364.0777,3812239.241,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,550,263986,2026861.103,16864.44326
0304070006810027_0005,457302.6526,3812439.96,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,550,263986,2026861.103,16864.44326
0304070006410005_0002,456678.6104,3823697.338,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,550,263989,323480.0981,4524.46537
0304070006410016_0005,456684.5827,3823320.12,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,550,263989,323480.0981,4524.46537
0304070006410017_0005,456738.886,3822779.913,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,550,263989,323480.0981,4524.46537
0304070006410002_0010,456102.0392,3823155.579,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,550,263990,815693.8021,10844.01212
0304070006830013_0001,455163.5353,3811302.316,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,263994,2671457.877,10208.75622
0304070006830013_0002,455418.654,3811298.558,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,263994,2671457.877,10208.75622
0304070006830013_0003,455578.3482,3811301.256,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,263994,2671457.877,10208.75622
0304070006830013_0004,455293.672,3811489.957,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,263994,2671457.877,10208.75622
0304070006830013_0005,455460.0366,3811498.64,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,263994,2671457.877,10208.75622
0304070006830013_0006,455679.8175,3811500.754,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,263994,2671457.877,10208.75622
0304070006830013_0007,455402.7104,3811701.835,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,263994,2671457.877,10208.75622
0304070006830013_0008,455581.4398,3811695.887,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,263994,2671457.877,10208.75622
0304070006840016_0004,454925.2878,3811102.881,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,263994,2671457.877,10208.75622
0304070006840017_0003,455841.4327,3810682.909,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,263994,2671457.877,10208.75622
0304070006810022_0001,457719.5324,3812137.966,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,263995,3886117.398,36333.69171
0304070006810022_0003,457722.9664,3812319.834,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,263995,3886117.398,36333.69171
0304070006810025_0002,457462.1622,3812798.802,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,263995,3886117.398,36333.69171
0304070006810025_0003,457522.8645,3812695.825,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,263995,3886117.398,36333.69171
0304070006810027_0002,457382.1465,3811857.101,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,263995,3886117.398,36333.69171
0304070006810027_0003,457361.3154,3812039.171,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,263995,3886117.398,36333.69171
0304070006810040_0003,457180.0509,3811816.547,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,263995,3886117.398,36333.69171
0304070006810040_0004,457019.1636,3811852.378,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,263995,3886117.398,36333.69171
0304070006700012_0001,454377.7489,3813860.738,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,263996,1838853.322,8065.720051
0304070006700024_0003,454541.4793,3814295.484,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,263996,1838853.322,8065.720051
0304070006700039_0001,454702.7277,3813896.488,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,263996,1838853.322,8065.720051
0304070006700039_0002,454902.9766,3813880.925,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,263996,1838853.322,8065.720051
0304070006700039_0003,454598.9299,3814077.064,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,263996,1838853.322,8065.720051
0304070006700039_0004,454803.5396,3814077.962,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,263996,1838853.322,8065.720051
0304070006700039_0005,455002.4711,3814081.413,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,263996,1838853.322,8065.720051
0304070006410002_0004,455861.5011,3822477.249,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,264000,1177236.395,6124.647404
0304070006410002_0006,456320.5575,3822517.622,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,264000,1177236.395,6124.647404
0304070006410002_0007,455917.8417,3822697.407,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,264000,1177236.395,6124.647404
0304070006410002_0008,456125.4706,3822736.716,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,264000,1177236.395,6124.647404
0304070006410002_0009,456022.5605,3822999.337,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,264000,1177236.395,6124.647404
0304070006410005_0001,456161.6712,3823355.898,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,264000,1177236.395,6124.647404
0304070006410005_0003,456601.0183,3823541.77,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,264000,1177236.395,6124.647404
0304070006410005_0004,456160.9109,3823615.503,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,264000,1177236.395,6124.647404
0304070006410005_0005,456497.6999,3823719.437,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,264000,1177236.395,6124.647404
0304070006410005_0006,456219.9102,3823798.29,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,264000,1177236.395,6124.647404
0304070006410005_0007,456341.7995,3823856.933,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,264000,1177236.395,6124.647404
0304070006410015_0001,456380.9954,3823377.137,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,264000,1177236.395,6124.647404
0304070006410015_0002,456334.9512,3823159.357,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,264000,1177236.395,6124.647404
0304070006410015_0003,456500.8997,3823257.041,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,264000,1177236.395,6124.647404
0304070006410015_0004,456357.4566,3823556.819,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,264000,1177236.395,6124.647404
0304070006410016_0001,456379.1628,3822901.832,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,264000,1177236.395,6124.647404
0304070006410016_0002,456559.6147,3822900.344,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,264000,1177236.395,6124.647404
0304070006410016_0003,456564.0026,3823119.467,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,264000,1177236.395,6124.647404
0304070006410016_0004,456781.7753,3823116.146,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,567,264000,1177236.395,6124.647404
